,comment_sentence,partition,category
1300,@since 12,0,deprecation
1301,@since 11,0,deprecation
1302,@since 55,0,deprecation
1303,tests are parameterised.,0,deprecation
1304,@since 53,0,deprecation
1305,@since 50,0,deprecation
1306,compare and swap to ensure correctness when multiple threads are used to access it.,0,deprecation
1307,not.,0,deprecation
1308,@since 57,0,deprecation
1309,that means it is,0,deprecation
1310,@since 77.13,0,deprecation
1311,@since 110,0,deprecation
1312,@since 22,0,deprecation
1313,@since 66,0,deprecation
1314,@since 21,0,deprecation
1315,@since 20,0,deprecation
1316,"@deprecated as of 80, replaced by @link valueprovider , @link setter , see",0,deprecation
1317,"in addition, there can also be a b dwarf2 b in the name.",0,deprecation
1318,some of the cdt source lookup features require newer versions of gdb than,0,deprecation
1319,@since 12.1,0,deprecation
1320,@since 140,0,deprecation
1321,@since 70,0,deprecation
1322,@since 100,0,deprecation
1323,@since 75.0,0,deprecation
1324,ragovercriteria string and,0,deprecation
1325,@since 76,0,deprecation
1326,@since 75,0,deprecation
1327,@since 30,0,deprecation
1328,@since 74,0,deprecation
1329,@link droptargetextension#setdropcriteria string,0,deprecation
1330,@since 72,0,deprecation
1331,@since 71,0,deprecation
1332,data locality can t be calculated if openstack swift version is old.,0,deprecation
1333,"@deprecated as of 80, no replacement available.",0,deprecation
1334,each @link requesthandler can,0,deprecation
1335,skipped when appropriate.,0,deprecation
1336,@link binder,0,deprecation
1337,@since 80,0,deprecation
1338,@since 40,0,deprecation
1339,@since 83,0,deprecation
1340,@deprecated replaced by @link includefilecontentprovider,0,deprecation
1341,@deprecated as of 70.,0,deprecation
1342,@deprecated replaced in 81 by @link dropevent#gettransferdata string,0,deprecation
1343,p,0,deprecation
1344,"however, serial forms generated by newer versions",0,deprecation
1345,@since 160,0,deprecation
1346,"others, therefore the relevant tests use assumegdbversion methods to be",0,deprecation
1347,@since 120,0,deprecation
1348,@since 91,0,deprecation
1349,@deprecated use @link appearanceawarelabelprovider instead.,0,deprecation
1350,@since 70.0,0,deprecation
