,comment_sentence,partition,category
316,action for a null rule,0,Expand
317,this panel can only contain vscrolltablerow type of widgets.,0,Expand
318,the correct behavior is br when a specific port is provided the server must either start on that port or fail by throwing @link java^net.bindexception .,0,Expand
319,interval .,0,Expand
320,the thread which does the actual work of tailing edits journals and,0,Expand
321,cases covered,0,Expand
322,specific trace record context.,0,Expand
323,constraints,0,Expand
324,and then count points inside outside of the inscribed circle of the square.,0,Expand
325,trace events,0,Expand
326,test that we can start several and run with namenodes on the same minicluster,0,Expand
327,this ensures that the time it takes to go from 0 to,0,Expand
328,1.,0,Expand
329,and the time to go from thresholdpermits to 0 is warmupperiod 2.,0,Expand
330,vertical scroll events we will check if we are reaching the end of area where,0,Expand
331,"expireafterwrite , @linkplain #expireafteraccess expireafteraccess , @linkplain #weakkeys",0,Expand
332,a byte source that reads from a url using @link url#openstream .,0,Expand
333,ozone objects supported for acl.,0,Expand
334,user closes the window.,0,Expand
335,"namely entity id, entity type and entity created time.",0,Expand
336,that will be included in the corresponding http response.,0,Expand
337,files are randomly placed in the empty directories.,0,Expand
338,previous^checkpoint li,0,Expand
339,.,0,Expand
340,are available in the cluster.,0,Expand
341,following features,0,Expand
342,vscrolltable is a flowpanel having two widgets in it tablehead component,0,Expand
343,satisfy the upgrade domain policy.,0,Expand
344,propagated out from the @link closeables#close method if @code swallowexception is true.,0,Expand
345,wrapper to hold ozone keyvalidate entry.,0,Expand
346,com^google.gwt^event.dom^client.blurhandler#onblur com^google.gwt^event,0,Expand
347,ie for an acquire 15 request naturally takes 3 seconds.,0,Expand
348,"integrations for specific runtime environments, such as osgi or spring, might",0,Expand
349,the simplest way to maintain a rate of qps is to keep the timestamp of the last granted,0,Expand
350,closelistener to a window and,0,Expand
351,"the maximum depth of each subdirectory is a random number 2 maxdepth 3, maxdepth .",0,Expand
352,calling it should not be necessary with a high throughput cache.,0,Expand
353,cached record,0,Expand
354,"open a file, while @link #applicationfinished applicationfinishdata is",0,Expand
355,li the time to go from thresholdpermits to 0 is equal to the integral of the function,0,Expand
356,all fields will,0,Expand
357,it loads customized policies and syncs with persisted ones in,0,Expand
358,this makes it possible to provide sorting without having,0,Expand
