comment_sentence_id,class,comment_sentence,partition,instance_type,category
2,Abfss.java,this impl delegates to the old filesystem,0,0,summary
516,FileSystemApplicationHistoryStore.java,@link #applicationstarted applicationstartdata is supposed to,1,0,summary
517,FileSystemApplicationHistoryStore.java,be invoked first when writing any history data of one application and it will,0,0,summary
6,AbstractContractGetFileStatusTest.java,the tree parameters.,1,0,summary
518,FileSystemApplicationHistoryStore.java,"open a file, while @link #applicationfinished applicationfinishdata is",0,0,summary
7,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,1,0,summary
519,FileSystemApplicationHistoryStore.java,supposed to be last writing operation and will close the file.,0,0,summary
8,AbstractContractGetFileStatusTest.java,accept everything.,1,0,summary
9,AbstractContractGetFileStatusTest.java,the tree parameters.,0,0,summary
10,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,1,0,summary
11,AbstractContractGetFileStatusTest.java,accept nothing.,0,0,summary
1035,TestCustomOauthTokenProvider.java,instead this just checks that the creation works and that everything,1,0,summary
12,AbstractContractGetFileStatusTest.java,the tree parameters.,0,0,summary
1036,TestCustomOauthTokenProvider.java,is propagated.,1,0,summary
13,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,0,0,summary
14,AbstractContractGetFileStatusTest.java,path filter which only expects paths whose final name element,1,0,summary
15,AbstractContractGetFileStatusTest.java,equals the @code match field.,0,0,summary
16,AbstractContractGetFileStatusTest.java,the tree parameters.,1,0,summary
17,AbstractContractGetFileStatusTest.java,kept small to avoid killing object store test runs too much.,0,0,summary
18,AbstractContractGetFileStatusTest.java,a filesystem filter which exposes the protected method,1,0,summary
19,AbstractContractGetFileStatusTest.java,"@link #listlocatedstatus path, pathfilter .",0,0,summary
1058,TestHDFSServerPorts.java,the correct behavior is br when a specific port is provided the server must either start on that port or fail by throwing @link java^net.bindexception .,1,0,summary
1059,TestHDFSServerPorts.java,br,0,0,summary
1060,TestHDFSServerPorts.java,if the port 0 ephemeral then the server should choose a free port and start on it.,1,0,summary
44,AbstractS3ACommitterFactory.java,dynamically create the output committer based on subclass type and settings.,0,0,summary
1072,TestNativeAzureFileSystemUploadLogic.java,just an arbitrary number so that the values i write have a predictable,1,0,summary
1073,TestNativeAzureFileSystemUploadLogic.java,various scenarios to test in how often we flush data while uploading.,0,0,summary
562,HttpHeaderConfigurations.java,responsible to keep all abfs http headers here.,1,0,summary
53,ApplicationConstants.java,the type of launch for the container.,0,0,summary
54,ApplicationConstants.java,environment for applications.,1,0,summary
567,InconsistentS3ClientFactory.java,this client is for testing i only i it is in the production,0,0,summary
568,InconsistentS3ClientFactory.java,@code hadoop aws module to enable integration tests to use this,1,0,summary
569,InconsistentS3ClientFactory.java,just by editing the hadoop configuration used to bring up the client.,0,0,summary
1086,TestProtoBufRpc.java,this test depends on test^proto definition of types in src test proto,1,0,summary
1087,TestProtoBufRpc.java,and protobuf service definition from src test test rpc service^proto,0,0,summary
66,AutoInputFormat.java,it can currently handle text and sequence files.,1,0,summary
74,BalancingPolicy.java,cluster is balanced if each node is balanced.,0,0,summary
75,BalancingPolicy.java,cluster is balanced if each pool in each node is balanced.,1,0,summary
588,ITestCommitOperations.java,this is done with an inconsistent client.,0,0,summary
1105,TestSaveNamespace.java,cases covered,1,0,summary
594,ITestS3Select.java,executed if the destination store declares its support for the feature.,0,0,summary
1106,TestSaveNamespace.java,ol,1,0,summary
1107,TestSaveNamespace.java,li recover from failure while saving into the second storage directory li,0,0,summary
1108,TestSaveNamespace.java,li recover from failure while moving current into lastcheckpoint^tmp li,1,0,summary
1109,TestSaveNamespace.java,li recover from failure while moving lastcheckpoint^tmp into,0,0,summary
1110,TestSaveNamespace.java,previous^checkpoint li,1,0,summary
1111,TestSaveNamespace.java,li recover from failure while rolling edits file li,0,0,summary
88,BatchedRequests.java,the placement algorithm tends to give more optimal,1,0,summary
1112,TestSaveNamespace.java,ol,0,0,summary
89,BatchedRequests.java,placements if more requests are batched together.,1,0,summary
90,BatchedRequests.java,placementalgorithmoutput attempt the number of times the requests in this,0,0,summary
