stratum,class,comment,summary,Expand,rational,deprecation,usage,Ownership,Pointer
1,Abfss.java,"azure blob file system implementation of abstractfilesystem.
this impl delegates to the old filesystem",azure blob file system implementation of abstractfilesystem.,this impl delegates to the old filesystem,,,,,
1,AbstractContractGetFileStatusTest.java,"test getfilestatus and related listing operations.
the tree parameters. kept small to avoid killing object store test runs too much.
accept everything.
the tree parameters. kept small to avoid killing object store test runs too much.
accept nothing.
the tree parameters. kept small to avoid killing object store test runs too much.
path filter which only expects paths whose final name element
equals the @code match field.
the tree parameters. kept small to avoid killing object store test runs too much.
a filesystem filter which exposes the protected method
@link #listlocatedstatus path, pathfilter .",test getfilestatus and related listing operations.,"the tree parameters. kept small to avoid killing object store test runs too much.
accept everything.
the tree parameters. kept small to avoid killing object store test runs too much.
accept nothing.
the tree parameters. kept small to avoid killing object store test runs too much.
path filter which only expects paths whose final name element
equals the @code match field.
the tree parameters. kept small to avoid killing object store test runs too much.
a filesystem filter which exposes the protected method
@link #listlocatedstatus path, pathfilter .",,,,,
1,AbstractFSContract.java,"class representing a filesystem contract that a filesystem
implementation is expected implement.

part of this contract class is to allow fs implementations to
provide specific opt outs and limits, so that tests can be
skip unsupported features eg case sensitivity tests ,
dangerous operations eg trying to delete the root directory ,
and limit filesize and other numeric variables for scale tests",class representing a filesystem contract that a filesystem implementation is expected implement.,,"part of this contract class is to allow fs implementations to provide specific opt outs and limits, so that tests can be skip unsupported features eg case sensitivity tests , dangerous operations eg trying to delete the root directory , and limit filesize and other numeric variables for scale tests",,,,
1,AbstractS3ACommitterFactory.java,dynamically create the output committer based on subclass type and settings.,,dynamically create the output committer based on subclass type and settings.,,,,,
1,AbstractTFLaunchCommandTestHelper.java,"this class is an abstract base class for testing tensorboard and tensorflow
launch commands.",this class is an abstract base class for testing tensorboard and tensorflow and launch commands.,,this class is an abstract base class for testing tensorboard and tensorflow and launch commands.,,,,
1,ApplicationConstants.java,"this is the api for the applications comprising of constants that yarn sets
up for the applications and the containers.

todo investigate the semantics and security of each cross boundary refs.

the type of launch for the container.

environment for applications.

some of the environment variables for applications are em final em
ie they cannot be modified by the applications.",this is the api for the applications comprising of constants that yarn sets up for the applications and the containers.,the type of launch for the container. environment for applications. some of the environment variables for applications are em final em ie they cannot be modified by the applications.,,,,,
1,ApplicationStateData.java,contains all the state data that needs to be stored persistently for an application,contains all the state data that needs to be stored persistently for an application,,needs to be stored persistently for an application,,,,
1,AutoInputFormat.java,"an @link inputformat that tries to deduce the types of the input files
automatically. it can currently handle text and sequence files.",an @link inputformat that tries to deduce the types of the input files automatically.,it can currently handle text and sequence files.,,,,,an @link inputformat that tries to deduce the types of the input files automatically.
1,BalancingPolicy.java,"balancing policy.
since a datanode may contain multiple block pools,
@link pool implies @link node
but not the other way around

cluster is balanced if each node is balanced.

cluster is balanced if each pool in each node is balanced.",balancing policy.,"since a datanode may contain multiple block pools, @link pool implies @link node but not the other way around",cluster is balanced if each node is balanced. cluster is balanced if each pool in each node is balanced.,,,,"since a datanode may contain multiple block pools, @link pool implies @link node but not the other way around"
1,BaseRouterWebServicesTest.java,"base class for all the routerrmadminservice test cases. it provides utility
methods that can be used by the concrete test case classes.",base class for all the routerrmadminservice test cases.,,,,it provides utility methods that can be used by the concrete test case classes.,,
