,comment_sentence,partition,category
644,useful for cases where you cannot modify existing classes and is a bit simpler than using a,0,usage
645,"path filelist fileutil^stat2paths fs^liststatus outdir,",0,usage
646,p here are some examples of recognized formats,0,usage
647,"at that point, a request of",0,usage
648,if your binding annotation has parameters you can apply different bindings to different specific,0,usage
649,if we are primarily interested to,0,usage
650,and what we mean by,0,usage
651,"p in addition to @link #execute , subclasses must implement all methods related to shutdown and",0,usage
652,for example the initializer of a structured binding decomposition dcl^struct.bind,0,usage
653,constant injections must always be annotated.,0,usage
654,"private void createbeforeellipsis map workingvalues, innernode parent createoption parent, workingvalues, formattermessages^whitespaceoptions vararg parameter, defaultcodeformatterconstants^formatter insert space before ellipsis, vararg parameter preview private void createafterellipsis map workingvalues, innernode parent createoption parent, workingvalues, formattermessages^whitespaceoptions vararg parameter, defaultcodeformatterconstants^formatter insert space after ellipsis, vararg parameter preview syntax element tree private innernode createreturntree map workingvalues, innernode parent final innernode root new innernode parent, workingvalues, formattermessages^whitespaceoptions return createoption root, workingvalues, formattermessages^whitespacetabpage before parenthesized expressions, defaultcodeformatterconstants^formatter insert space before parenthesized expression in return, return preview return root private innernode createthrowtree map workingvalues, innernode parent final innernode root new innernode parent, workingvalues, formattermessages^whitespaceoptions throw createoption root, workingvalues, formattermessages^whitespacetabpage before parenthesized expressions, defaultcodeformatterconstants^formatter insert space before parenthesized expression in throw, throw preview return root",0,usage
655,"p in summary, the time it takes to move to the left spend k permits , is equal to the area of",0,usage
656,p avoid passing message arguments that are expensive to compute your code will always compute,0,usage
657,"the cache on each cache modification, on occasional cache accesses, or on calls to @link",0,usage
658,constructor t lonector getlonectorfromserviceimplviareflection,0,usage
659,"we serve the request partly from storedpermits, using all the",0,usage
660,large requests push this further than small requests.,0,usage
661,public graph load key key throws anyexception,0,usage
662,"immediately after, assume that an",0,usage
663,p example usage,0,usage
664,@see cprojectdescriptionevent,0,usage
665,new outputfilesfilter,0,usage
666,the type of the rows in grid,0,usage
667,"new cacheloader key, graph",0,usage
668,these iterators never throw @link,0,usage
669,r e s o u r c e v i s i t o r m e t h o d s,0,usage
670,"cconfigurationdescriptioncache icconfigurationdescription basedescription, .",0,usage
671,have to be regenerated.,0,usage
672,acquire 3 arrives.,0,usage
673,immutable empty instances are returned for collection types @code for string @code 0 for,0,usage
674,@link concurrenthashmap .,0,usage
675,unless told otherwise.,0,usage
676,li user changes settings in the settings configuration cconfigurationdescription and saves it,0,usage
677,an,0,usage
678,bind service^class ^toinstance new serviceimpl,0,usage
679,.,0,usage
680,this client is for testing i only i it is in the production,0,usage
681,happen letting guice work for you .,0,usage
682,reason that this is warmupperiod 2 is to maintain the behavior of the original implementation,0,usage
683,caller s responsibility.,0,usage
684,environment if possible before spending a lot of effort on tweaking a particular element.,0,usage
685,@param k0 an upper bound on the key type of the generated multimap.,0,usage
686,getting your hands on the right instance of the annotation is a bit of,0,usage
687,the simplest way to maintain a rate of qps is to keep the timestamp of the last granted,0,usage
688,expired entries may be counted by @link,0,usage
689,annotatedwith names^named blue,0,usage
690,consistent iterators i .,0,usage
691,will simply not be formatted exactly as intended.,0,usage
692,li the time to go from thresholdpermits to 0 is equal to the integral of the function,0,usage
693,double d sqrt 10,0,usage
694,this guarantees that we handle,0,usage
695,"if the two concepts make no sense with each other, you most likely won t be able to do it.",0,usage
696,li 2001 db8 1 80 @link #gethost omits brackets,0,usage
697,"last request, but it remembers the expected time of the next request.",0,usage
698,"since it is a private inner class, the invoker can never pass in an instance to the tester",0,usage
699,stated otherwise in one of the configuration methods.,0,usage
700,a helper base class for creating extensions for the grid component.,0,usage
701,need.,0,usage
702,environment directory r pathdir,0,usage
703,the function of width k.,0,usage
704,"overflow, depending on the real world consequences of not using the expected rate.",0,usage
705,all other methods throw,0,usage
706,an annotation on the @code serviceimpl class.,0,usage
707,p,0,usage
708,the,0,usage
709,"code auto first, second decomposed code",0,usage
710,"how is the ratelimiter designed, and why?",0,usage
711,p these features are all optional caches can be created using all or none of them.,0,usage
712,sizedbasedweight is set to true then an application with high demand,0,usage
713,there are better methods for computing pi.,0,usage
714,normally @code object unless it is constrained by using a method like @code,0,usage
715,the same goes for the message accepting overloads.,0,usage
716,just by editing the hadoop configuration used to bring up the client.,0,usage
717,number types reasonable default instance for other stateless types.,0,usage
718,"request, and ensure that 1 qps seconds have elapsed since then.",0,usage
719,f r a g m e n t subdir^mk m a k e f i l e m e t h o d s,0,usage
720,in real life this would come from a command line flag or config file,0,usage
721,only caches built with,0,usage
722,string formatting itself should not be a concern.,0,usage
723,@param b the concrete type of this builder the self type .,0,usage
724,p implementations should be collections of pure functions ie stateless .,0,usage
725,misleading to future readers of the code and of stack traces.,0,usage
726,p the simplest use case is,0,usage
727,h3 the guice binding edsl h3,0,usage
728,the class,0,usage
729,"on the other hand, past underutilization could mean that the server responsible for handling",0,usage
730,to run on your local machine using the directory datadir with 5 seconds between each batch and,0,usage
731,entry prefixes look like,0,usage
732,"by first resolving an instance of @code serviceprovider in the regular way, then calling @link",0,usage
733,the factory has several different modes of operation,0,usage
734,"p depending on your message arguments, memory may be allocated for boxing and varargs array",0,usage
735,this is important when the,0,usage
736,may be prioritized ahead of an application with less usage.,0,usage
737,in memory representation of a directory in memory representation of a file,0,usage
738,@noextend this interface is not intended to be extended by clients.,0,usage
739,the synopsis of the command is,0,usage
740,therefore,0,usage
741,instance is created each time @code get is called.,0,usage
742,"in this example,",0,usage
743,methods which mirror those found in @link binder .,0,usage
744,"part of the binding edsl you can learn how to use these in the usual way, from the method",0,usage
745,"located in the @link #build path directory, but it is now located in the",0,usage
746,object#equals equals method to determine equality for keys or values.,0,usage
747,p p,0,usage
748,protected void configure,0,usage
749,@author george van den driessche,0,usage
750,it would be nonsensical to just,0,usage
751,@param keyin the key input type to the mapper,0,usage
752,javastreamingtestexample datadir batchduration numbatchestimeout,0,usage
753,item type,0,usage
754,this class is used to recursively walk the project and determine which,0,usage
755,"this variable is zero when there is no underutilization,",0,usage
756,read or write operations.,0,usage
757,hostandport hp hostandport^fromstring 2001 db8 1,0,usage
758,"for other types can be configured using @link #converttotypes matcher, typeconverter",0,usage
759,public static double sqrt double value,0,usage
760,new outputlogfilter,0,usage
761,basedescription is saved as fbasedescription.,0,usage
762,p usage example,0,usage
763,li code the empty string code or code ga code or code final code li,0,usage
764,bind serviceimpl^class,0,usage
765,either of these statements places the @code serviceimpl class into singleton scope.,0,usage
766,h3 @code java^util.objects^requirenonnull h3,0,usage
767,implementation.,0,usage
768,"rate is applied to networking limiting bandwidth , where past underutilization typically",0,usage
769,"thus, 1 rate time permits times",0,usage
770,p the above list of examples is far from exhaustive.,0,usage
771,"process a string denoting a filepath in a way compatible for gnu make rules, handling",0,usage
772,maximumweight is requested entries may be evicted on each cache modification.,0,usage
773,this class filters log files from directory given,0,usage
774,but what does it mean to serve 7 stored,0,usage
775,where the cconfigurationdescriptioncache is passed as data.,0,usage
776,a custom reader can be,0,usage
777,"after granting a request,",0,usage
778,"time, then a request arrived and was immediately granted?",0,usage
779,s o u r c e s sources^mk m a k e f i l e m e t h o d s,0,usage
780,all the builder methods of this,0,usage
781,of requested permits.,0,usage
782,"p to implement a cache, the programmer needs only to extend this class and provide an",0,usage
783,"completely unused, and an expensive acquire 100 request comes.",0,usage
784,"for 10 seconds ie, we expected a request at time x, but we are at time x 10 seconds before",0,usage
785,"in this example, @code serviceprovider must extend or implement @code provider service .",0,usage
786,"@link #compare byte ,int,int,byte ,int,int .",0,usage
787,storedpermits,0,usage
788,"however, remember that",0,usage
789,"instead, you should consult the series of examples below.",0,usage
790,li example^com,0,usage
791,string constants for makefile contents and messages private static final string auto dep comment ^autodeps non nls 1 private static final string message managedmakebuilder^message non nls 1 private static final string build error message ^error non nls 1 private static final string dep incl comment ^module.dep^includes non nls 1 private static final string mod incl comment ^module.make^includes non nls 1 private itool buildtools private boolean buildtoolsused private imanagedbuildinfo info private set outputextensionsset maps of macro names string to values list dependency file variables private vector dependencymakefiles ipath s relative to the top build directory or absolute,0,usage
792,@link module class to serve as an explicit i manifest i for the services it provides.,0,usage
793,@return a suitable make rule compatible path,0,usage
794,ie,0,usage
795,if,0,usage
796,standard jdk exceptions such as @link java^util.nosuchelementexception or @link,0,usage
797,most tuning parameters are based on this url.,0,usage
798,return createexpensivegraph key,0,usage
799,a new mode called default jsse with gcm delegates to the default jsse,0,usage
800,converttotypes .,0,usage
801,"will be performed during write operations, or during occasional read operations in the absence of",0,usage
802,java structuregenerator,0,usage
803,it is important to realize that such a ratelimiter has a very superficial memory of the past,0,usage
804,li code rc code or code cr code li,0,usage
805,expireafterwrite duration^ofminutes 10,0,usage
806,p if @linkplain #maximumsize long maximumsize or @linkplain #maximumweight long,0,usage
807,"p for more extensive testing, add multiple equality groups.",0,usage
808,data list register names regno,0,usage
809,"the request has become less ready for future requests , ie its caches become stale, and",0,usage
810,p to be replaced with the more compact,0,usage
811,what if the ratelimiter was unused for a long period of,0,usage
812,if we are primarily interested to deal,0,usage
813,@literal @ color red color red a member variable field,0,usage
814,"1 token per second , then this will take 3 seconds.",0,usage
815,with a dependency on a moved header file.,0,usage
816,p entries are automatically evicted from the cache when any of @linkplain #maximumsize long,0,usage
817,see a,0,usage
818,"past is the amount of time that the ratelimiter was formally unused, and it is that amount of",0,usage
819,adds a macro addition prefix to a map of macro names to entries.,0,usage
820,this is translated to throttling time is discussed later .,0,usage
821,this can be used to list paths of output directory as follows,0,usage
822,@link com^google.inject^name.named @named .,0,usage
823,sets up a constant binding.,0,usage
824,an immutable representation of a host and port.,0,usage
825,"in order to avoid duplicating the addmemoryblocks method one version for expressions, one for memory space address, we pass in a an opaque parameter and let the logic within addmemoryblocks differentiate where needed via isinstanceof request object used to get the memory spaces",0,usage
826,"this means that they are safe for concurrent use, but if other threads",0,usage
827,an event that is fired when a column s visibility changes.,0,usage
828,we emphasize numerical approximation of arbitrary integrals in this example.,0,usage
829,"or, alternatively",0,usage
830,p this can be used to easily configure multimap data structure implementations not provided,0,usage
831,to define alternate,0,usage
832,@since 160,0,usage
833,p @code multimapbuilder instances are immutable.,0,usage
834,"loadingcache key, graph graphs cachebuilder^newbuilder",0,usage
835,"likewise, if @link #weakvalues or @link #softvalues was specified, the cache uses identity",0,usage
836,"arrivals come exactly one second after the previous, then storedpermits is never increased",0,usage
837,li,0,usage
838,"the primary feature of a ratelimiter is its stable rate , the maximum rate that is should",0,usage
839,"p besides @link singleton @link scopes#singleton , there are servlet specific scopes",0,usage
840,the missing header file in a dependency rule as a target it has to build,0,usage
841,the option bin hadoopstreaming inputreader .,0,usage
842,@code service injection requests.,0,usage
843,serviceimpl is simply ignored.,0,usage
844,"binding s value is a string, it is eligible for conversion to all primitive types, to @link",0,usage
845,say we leave the ratelimiter unused,0,usage
846,"expected arrival time of the next request is actually in the past, then the difference now",0,usage
847,it only remembers the last request.,0,usage
848,note that it is still possible to bind another instance of @code serviceimpl if the,0,usage
849,permits?,0,usage
850,these dummy targets are added to the makefile,0,usage
851,always i creates i each instance it provides.,0,usage
852,@param t,0,usage
853,p if @linkplain #expireafterwrite expireafterwrite or @linkplain #expireafteraccess,0,usage
854,"granted only 100ms ago, then we wait for another 100ms.",0,usage
855,modules contribute buildable source files.,0,usage
856,the code initializerevaluation code has to be supplied.,0,usage
857,entries with reclaimed keys or values may be removed from,0,usage
