,comment_sentence,partition,category
1158,i am used together with brtext and brtextstyler to style text.,0,Collaborators
1159,i am a special iterator used to iterate over concatenation rope,0,Collaborators
1160,a data set has to be added to a rtgrapher.,0,Collaborators
1161,"after a response has been flushed once, header modifications are no longer possible and will raise a waillegalstateexception.",0,Collaborators
1162,dcrtresizable,0,Collaborators
1163,at system startup the imageboottime is re set automatically.,0,Collaborators
1164,abstract literal parser that parses some kind of literal type to be specified by subclasses .,0,Collaborators
1165,"there is no perfect strategy, therefore understanding the differences between them is an important step in learning how to work with text in bloc.",0,Collaborators
1166,for document handlers query fields are used.,0,Collaborators
1167,an ode solver uses a stepper to solve a system.,0,Collaborators
1168,i am used by class gtgraphtreemapsquarifystep .,0,Collaborators
1169,famixnamespacegroup is a moosegroup containing only famix enities of type famixnamespace.,0,Collaborators
1170,access the duration how long ago the image booted as follows,0,Collaborators
1171,i am attached to a bloc element and define the visual structure of that bloc element.,0,Collaborators
1172,gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine.,0,Collaborators
1173,i am intended to be used in gemstone s instead of wahashcache.,0,Collaborators
1174,the most general stepper type is described by the stepper concept.,0,Collaborators
1175,"hapax is distributed under bsd license, see package comment.",0,Collaborators
1176,my position is equal to the left center of a reference element,0,Collaborators
1177,i am used to record text selection intervals while user drags mouse over the text editor.,0,Collaborators
1178,the actual core of the algorithms are in moosequerycalculator class.,0,Collaborators
1179,this enables users to perform manual parsing or to embed other parser frameworks into petitparser.,0,Collaborators
1180,a bernoulligeneratortest is a test class for testing the behavior of bernoulligenerator,0,Collaborators
1181,i am instantiated by canvas and does not supposed to be created by refering paint class directly.,0,Collaborators
1182,i am an event listener that listens anchor moved event send by anchor,0,Collaborators
1183,waerrorhandler catches errors and warnings and provides two methods for handling each type of exception,0,Collaborators
1184,the form element acts as a container for input elements and buttons.,0,Collaborators
1185,a background process should send #reap to me.,0,Collaborators
1186,i am used by a class blelement to store its children.,0,Collaborators
1187,i am typically used for unnumbered lists,0,Collaborators
1188,wauptimetracker imageuptime.,0,Collaborators
1189,i make use of class brtextadornmentattribute to augment text with visual elements.,0,Collaborators
1190,i create a prcodeblock with the class definition within it.,0,Collaborators
1191,i am a test resource building a famixstmodel with some of kgb packages used for metrics tests.,0,Collaborators
1192,i am the element with which a pager page can be resized horizontally.,0,Collaborators
1193,famixtrait models a trait as it can be found in pharo or php.,0,Collaborators
1194,rtlinkview works with rthtml5exporter and,0,Collaborators
1195,sent by,0,Collaborators
1196,i use class gtgraphtreemapsquarifystep to split area into sub areas and measure class gtgraphtreemapnode positions and extends.,0,Collaborators
1197,i use the prpillargrammar and i build a prdocument.,0,Collaborators
1198,i am a visitor specialized in visiting books and testing their code.,0,Collaborators
1199,blinfinitedatasource,0,Collaborators
1200,i will also use the ston reader to read potentital metadata at the begining of the stream.,0,Collaborators
1201,i am a data source of the collection of all classes in the image,0,Collaborators
1202,is sent by buttonattribute after button is created.,0,Collaborators
1203,"generally, the differences between the implementations of the hozitonal and vertical variants are really small, revolving around one using or setting the x and the other y coordinates.",0,Collaborators
1204,the ui may want to display them in a transcript,0,Collaborators
1205,a rtdecoratedtest is a test class for testing the behavior of rtdecorated,0,Collaborators
1206,i am a class helper to do the layout in rtcirculartreemapbuilder,0,Collaborators
1207,rtsvgexporter,0,Collaborators
1208,i am polymorphic with spartasurface .,0,Collaborators
1209,clients can flush the response as often as they want at appropriate points in their response generation everything buffered up to that point will be sent.,0,Collaborators
1210,a rtaxisrenderer is a renderer for axis.,0,Collaborators
1211,"i am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.",0,Collaborators
1212,this class is part of hapax.,0,Collaborators
1213,a rttimelinesettest is a test class for testing the behavior of rttimelineset,0,Collaborators
1214,is sent by an element after it is removed from the parent.,0,Collaborators
1215,rtcirculartreemapbuilder,0,Collaborators
1216,rtsunburstbuilder,0,Collaborators
1217,wauptimetracker imageboottime.,0,Collaborators
1218,"server adaptors need to be aware that a committed response must be closed, when complete.",0,Collaborators
1219,"tipically this includes the position of child elements within the parent, or the size of the parent element.",0,Collaborators
1220,it changes the cursor aspect,0,Collaborators
