,comment_sentence,partition,category
871,i am an abstract collection of bloc elements that can be mutated.,0,Intent
872,i represent a sparta canvas and provide an api to perform various drawing operations.,0,Intent
873,i represent a mathematical matrix.,0,Intent
874,bloc layout,0,Intent
875,i am a single red chicken leg with two toes,0,Intent
876,"i represent the abstraction over ordered, unordered html or latex list.",0,Intent
877,i am an affine transformation that is directly defined by transformation matrix,0,Intent
878,i am a model used in the scope of fame.,0,Intent
879,walistattribute is an attribute that is restricted to a list of values.,0,Intent
880,"i am a footnote, you can create me with",0,Intent
881,i am the common superclass for pharo encoders.,0,Intent
882,"hapax is distributed under bsd license, see package comment.",0,Intent
883,i m a pillar specific class to manage code not generated for the configuration class.,0,Intent
884,i represent a line.,0,Intent
885,i am the abstract base class for caches that remove entries.,0,Intent
886,i am a composite filter and can have an arbitrary amount of input soures,0,Intent
887,i am basically a key value pair of strings.,0,Intent
888,a pluggable parser that passes the parser stream into a block.,0,Intent
889,i am preformatted text or source code.,0,Intent
890,i represent a text underline attribute.,0,Intent
891,i am a root class of geometry elements elements driven by geometry anchors.,0,Intent
892,i am a type of data source update command.,0,Intent
893,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,0,Intent
894,"i am not a roassal shape, for that use rtellipse.",0,Intent
895,"i am a class to create editable label shapes, but do not forget that roassal is for visualizations not to build morphs",0,Intent
896,a wamemoryinput is a dialog that allows the user to enter an amount of memory.,0,Intent
897,i am a pharo specific url encoder.,0,Intent
898,i am an event processor.,0,Intent
899,i am configurable using factor a degree to which the animation should be eased.,0,Intent
900,i am the installer of shared libraries along side image or vm.,0,Intent
901,a rtellipsetest is a test class for testing the behavior of rtellipse,0,Intent
902,i am the element with which a pager page can be resized horizontally.,0,Intent
903,this is a famixtype.,0,Intent
904,i represent a key and value pair.,0,Intent
905,walabelledformdialog is an abstract class for generating html forms.,0,Intent
906,examples of rttreemap,0,Intent
907,"i am a class to create visualizations about rings, center is the root of the tree and arcs are the sub trees.",0,Intent
908,an html canvas that facilitates writing html to a stream.,0,Intent
909,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.,0,Intent
910,i am a middle mouse button.,0,Intent
911,canvas spartacanvas extent 400@250.,0,Intent
912,a rtdecoratedtest is a test class for testing the behavior of rtdecorated,0,Intent
913,a ppinfo represent the informations around a parsing result and also contain this result.,0,Intent
914,i am a class helper to do the layout in rtcirculartreemapbuilder,0,Intent
915,i am an unordered list.,0,Intent
916,i define an api of a text run an object that holds an array of glyphs that represent a piece of text.,0,Intent
917,a roforcebasedlayout is inspired from the code of d3.,0,Intent
918,i am a writer for commonmark,0,Intent
919,a rtaxisrenderer is a renderer for axis.,0,Intent
920,a rttimelinesettest is a test class for testing the behavior of rttimelineset,0,Intent
921,https github^com syrel sparta raw master images spartacanvas 03 fill path^png label fillpath,0,Intent
922,i am a collection of showroom examples.,0,Intent
923,i am a glamorous icons container.,0,Intent
924,"hence, in bloc layout is not executed immediately after a property like the width of an element changes.",0,Intent
925,i am an abstract list.,0,Intent
926,i represent a frame phase.,0,Intent
927,i represent a text selection defined as interval from^^^to,0,Intent
928,i am the superclass of the class hierarchy describing attach points.,0,Intent
929,i am an interpolator where the rate of change starts out quickly and and then decelerates.,0,Intent
930,i am an abstract class to describe a phase of an export.,0,Intent
931,these are some simple demo scripts of parser combinators for the compiler construction course.,0,Intent
932,i am a special iterator used to iterate over concatenation rope,0,Intent
933,a rttextword represents one word of an original text.,0,Intent
934,abstract literal parser that parses some kind of literal type to be specified by subclasses .,0,Intent
935,i represent a rectangle.,0,Intent
936,https github^com syrel sparta raw master images spartacanvas 04 stroke path^png label strokepath,0,Intent
937,my height is smaller than my width.,0,Intent
938,famixnamespacegroup is a moosegroup containing only famix enities of type famixnamespace.,0,Intent
939,i am a copy of class blspartamozcanvasbuilder.,0,Intent
940,i am an event handler registry used by dispatchers in order to manage event handlers.,0,Intent
941,i represent a matrix used for 2d affine transformations.,0,Intent
942,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,0,Intent
943,i am a factory that can create class gtexample instances.,0,Intent
944,i m the root for the new importer.,0,Intent
945,i represent a projection value of a domain object on the axis.,0,Intent
946,"i represent an association of span interval, associated value and validity flag.",0,Intent
947,a bernoulligeneratortest is a test class for testing the behavior of bernoulligenerator,0,Intent
948,i am a host space created by blmorphichost.,0,Intent
949,i implement an horizontal slice algorithm.,0,Intent
950,i am an event listener that listens anchor moved event send by anchor,0,Intent
951,i am a superclass of most objects within pier.,0,Intent
952,"a rtsvgboxedtextpopup is a text popup, contained in a square box.",0,Intent
953,a rosmoothlayouttranslator is xxxxxxxxx.,0,Intent
