,comment_sentence,partition,category
0,it is meant to be subclassed.,0,Keyimplementationpoints
1,"in the second case, a new instance is created for running each example method.",0,Keyimplementationpoints
2,"a small set of constraints, like padding, margin or minimal and maximum dimensions, are common among all the layouts.",0,Keyimplementationpoints
3,as we know the size of each child we compute the actual position for each child,0,Keyimplementationpoints
4,"if the method is defined on the instance side, the provider consists in a new instance of that class.",0,Keyimplementationpoints
5,a31 a32 x y,0,Keyimplementationpoints
6,each group has the same x value.,0,Keyimplementationpoints
7,"because text extents are in user space coordinates, they are mostly, but not entirely, independent of the current transformation matrix.",0,Keyimplementationpoints
8,space starts the layout step,0,Keyimplementationpoints
9,"layouting should to be executed during a frame when various properties like, width, height or position change in any element contained by the space.",0,Keyimplementationpoints
10,a21 a22 shx sy,0,Keyimplementationpoints
11,"if this is done, this provider will be used for all examples created by the factory.",0,Keyimplementationpoints
12,"we don t want to use point, since state may be a vector quantity, and the behavior of array @ number is a little off it stores points in an array, what we want is the array itself in state, and the scalar quantity in time .",0,Keyimplementationpoints
13,a pulse is fired every 16ms if possible to obtain 60 frames per second fps maximum.,0,Keyimplementationpoints
14,optimization tip!!!,0,Keyimplementationpoints
15,an edge can be layouted only after the position of the elements that it connects is known.,0,Keyimplementationpoints
16,algorithm,0,Keyimplementationpoints
17,override the buttons method to change the text or number of submit buttons on the form.,0,Keyimplementationpoints
18,users should configure me with a #sourceclass .,0,Keyimplementationpoints
19,"if the example method is defined on the class side, the provider is the class object.",0,Keyimplementationpoints
20,cookie spec,0,Keyimplementationpoints
21,"the space only allows layout requests during the layouting phase a limited number of times method blspace #computelayout to avoid blocking rendering due to infinite recursions caused by layout requests, or void spending too much time on layouts in a frame.",0,Keyimplementationpoints
22,by default class blelement delegates the measuring to its layout.,0,Keyimplementationpoints
23,set clipping rectangle to trosmshape bounds.,0,Keyimplementationpoints
24,mouse up,0,Keyimplementationpoints
25,then i execute those methods with the example as a receiver and the pragma arguments.,0,Keyimplementationpoints
26,click,0,Keyimplementationpoints
27,https tools^ietf.org html rfc6265,0,Keyimplementationpoints
28,user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout.,0,Keyimplementationpoints
29,top left 2x2 minor of original matrix,0,Keyimplementationpoints
30,todo explain why position is sometime changed in the measured bounds,0,Keyimplementationpoints
31,quaternion,0,Keyimplementationpoints
32,http msdn2^microsoft.com en us library ms533046^aspx,0,Keyimplementationpoints
33,browser support,0,Keyimplementationpoints
34,this step find the size of an element and sets measuredextent or position sometimes,0,Keyimplementationpoints
