,comment_sentence,partition,category
994,"p x, a island, y accepts following inputs",0,Keymessages
995,cancel,0,Keymessages
996,my tag is inputfile .,0,Keymessages
997,buttons collection of strings or symbols,0,Keymessages
998,at system startup the imageboottime is re set automatically.,0,Keymessages
999,"each entity belongs to one and only one model, if an entity has not yet been added to a model or if an entity has been removed from a model the moosemodel is undefined, that is it may be nil.",0,Keymessages
1000,move object,0,Keymessages
1001,color object,0,Keymessages
1002,the bar shape is defined by #barshape #abox or default value #anellipse,0,Keymessages
1003,message one,0,Keymessages
1004,tiles,0,Keymessages
1005,user supplied data is placed in the data model.,0,Keymessages
1006,repeat repeat in both x and y axis,0,Keymessages
1007,when this limit is reached the overflow action is run.,0,Keymessages
1008,nbcycles object,0,Keymessages
1009,access the duration how long ago the image booted as follows,0,Keymessages
1010,stroke create a builder of stroke drawing operation,0,Keymessages
1011,method gtrlreleaseconfiguration #defaultversionnumber the version number to use in case there are no previous releases in a repository.,0,Keymessages
1012,rotatebydegrees rotate me by amount of degrees clockwise,0,Keymessages
1013,context,0,Keymessages
1014,model,0,Keymessages
1015,api,0,Keymessages
1016,text,0,Keymessages
1017,columncount anumber to specify amount of columns,0,Keymessages
1018,self answer contact,0,Keymessages
1019,solve system x0 astate t0 starttime t1 endtime,0,Keymessages
1020,method gtprototasker #addtask expanded true,0,Keymessages
1021,override the buttons method to change the text or number of submit buttons on the form.,0,Keymessages
1022,users should configure me with a #sourceclass .,0,Keymessages
1023,my parameters are,0,Keymessages
1024,"list of strings or symbols, each string symbol is the label first letter capitalized for a button and the name of the callback method on component when button is pressed,",0,Keymessages
1025,canvas,0,Keymessages
1026,here is a list of available icons,0,Keymessages
1027,method gtrlreleaseconfiguration #forcenewrelease force a new release in a repository even if there no new changes in that repository and all dependencies did not change.,0,Keymessages
1028,set clipping rectangle to trosmshape bounds.,0,Keymessages
1029,"so when you render a page call wapath currentsegment to get the current object, and generate the page accordingly.",0,Keymessages
1030,#rejectequalityhypothesiswithalpha does what its name says of course.,0,Keymessages
1031,asform to rasterize myself and return resulting image as form,0,Keymessages
1032,#removerelativeoldest remove the entry that hasn t been accessed for the longest time,0,Keymessages
1033,i define an api of an abstract paint.,0,Keymessages
1034,important api,0,Keymessages
1035,similar to create an empty canvas of size anextent and of the same type and format,0,Keymessages
1036,maximumabsoluteage integer,0,Keymessages
1037,"the default randomgenerator is pmrandom, but can be modified.",0,Keymessages
1038,interval,0,Keymessages
1039,method gtrlreleaseconfiguration #defaultversioncomputation the strategy for computing the next version number in case a version already exists.,0,Keymessages
1040,level number,0,Keymessages
1041,zoomlevel ln 156543034 rzoom ln 2,0,Keymessages
1042,maximumabsoluteage,0,Keymessages
1043,wauptimetracker imageuptime.,0,Keymessages
1044,rowcount anumber to specify amount of rows,0,Keymessages
1045,"alignmargins bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned.",0,Keymessages
1046,zoom point,0,Keymessages
1047,repeatx repeat only x axis,0,Keymessages
1048,handlewarning,0,Keymessages
1049,i define an api of a layout.,0,Keymessages
1050,font create a font build helper,0,Keymessages
1051,stroke options are used in stroking operations.,0,Keymessages
1052,island object,0,Keymessages
1053,compute the osm zoom level with the camera zoom value .,0,Keymessages
1054,"e @ rtlabeled new text value my value is , value asstring .",0,Keymessages
1055,the api offer the possibility to query an entity with three parameters,0,Keymessages
