comment_sentence_id,class,comment_sentence,partition,instance_type,category
1,BlAnchorRelativeToElement,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,0,0,Keyimplementationpoints
3,BlArrowheadExamples,i contain examples of different types of blarrowheadelement,1,0,Keyimplementationpoints
1027,GtDiagrammerEllipseStencil,i create an ellipse element,0,0,Keyimplementationpoints
1029,GtDiagrammerExamples,diagrammer,1,0,Keyimplementationpoints
6,BlArrowheadSimpleArrow,i am a simple arrow like arrowhead.,0,0,Keyimplementationpoints
7,BlArrowheadSimpleArrow,both my size and arrow length depend on the curve width.,1,0,Keyimplementationpoints
8,BlArrowheadSimpleArrow,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle.,0,0,Keyimplementationpoints
9,BlArrowheadSimpleArrow,users can also customise nose angle that tells how wide should the arrow lines be spread.,1,0,Keyimplementationpoints
1033,GtDiagrammerPicker,i am a scriptable toogle group to display a uniform collection of selectable values.,0,0,Keyimplementationpoints
10,BlArrowheadSimpleArrow,the with of the outer arrows can be specified by changing border width of a simple arrow arrowhead.,1,0,Keyimplementationpoints
1034,GtDiagrammerPicker,picker,0,0,Keyimplementationpoints
11,BlArrowheadSimpleArrow,i support both background and border paint and can have hollow inner triangle.,1,0,Keyimplementationpoints
1037,GtDiagrammerPicker,picker display hello .,0,0,Keyimplementationpoints
1038,GtDiagrammerPicker,world .,1,0,Keyimplementationpoints
1039,GtDiagrammerPicker,i .,0,0,Keyimplementationpoints
1040,GtDiagrammerPicker,am .,1,0,Keyimplementationpoints
1041,GtDiagrammerPicker,a .,0,0,Keyimplementationpoints
18,BlArrowheadTriangle,i am a triangular arrow head.,1,0,Keyimplementationpoints
1042,GtDiagrammerPicker,picker .,0,0,Keyimplementationpoints
19,BlArrowheadTriangle,my size depends on the width of a curve and hence can not be manually specified.,1,0,Keyimplementationpoints
1043,GtDiagrammerPicker,picker shape astring brtoggle new,0,0,Keyimplementationpoints
1044,GtDiagrammerPicker,look brmaterialtogglelabelledlook,1,0,Keyimplementationpoints
21,BlArrowheadTriangle,i support background and border paints.,0,0,Keyimplementationpoints
1045,GtDiagrammerPicker,margin blinsets all 3,1,0,Keyimplementationpoints
22,BlArrowheadTriangle,for hollow arrowhead let background be transparent.,0,0,Keyimplementationpoints
1046,GtDiagrammerPicker,label astring .,1,0,Keyimplementationpoints
23,BlArrowheadTriangle,for solid arrowhead make background paint be the same as border paint.,0,0,Keyimplementationpoints
1047,GtDiagrammerPicker,picker constraintsdo c,1,0,Keyimplementationpoints
24,BlArrowheadTriangle,it is possible to specify different paints for border and background,0,0,Keyimplementationpoints
1048,GtDiagrammerPicker,c horizontal exact 400.,1,0,Keyimplementationpoints
1049,GtDiagrammerPicker,c vertical fitcontent .,0,0,Keyimplementationpoints
1050,GtDiagrammerPicker,picker when brtoggleactivatedevent do anevent self inform anevent model .,1,0,Keyimplementationpoints
1051,GtDiagrammerPicker,picker,0,0,Keyimplementationpoints
32,BlChicken,how to run,1,0,Keyimplementationpoints
33,BlChicken,blchicken open,0,0,Keyimplementationpoints
36,BlChickenLeg,i am a single red chicken leg with two toes,1,0,Keyimplementationpoints
38,BlChildrenCollection,i am an abstract collection of bloc elements that can be mutated.,0,0,Keyimplementationpoints
39,BlChildrenCollection,i am used by a class blelement to store its children.,1,0,Keyimplementationpoints
40,BlChildrenCollection,i provide a data structure independent api for adding and removing children.,0,0,Keyimplementationpoints
41,BlChildrenCollection,i assume an index based way of working with children.,1,0,Keyimplementationpoints
45,BlChildrenCollection,i allow elements to optimize working with children for different scenarious.,0,0,Keyimplementationpoints
46,BlChildrenCollection,"for example, an array for storing children optimises for accessing fast accesses at any position.",1,0,Keyimplementationpoints
47,BlChildrenCollection,a linked list optimize for fast adding and removing.,0,0,Keyimplementationpoints
1071,GtDiagrammerStarStencil,i create a star element,1,0,Keyimplementationpoints
48,BlChildrenCollection,"a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.",0,0,Keyimplementationpoints
1073,GtExampleDependenciesResolver,i know how to extract the dependencies of a given example.,1,0,Keyimplementationpoints
1074,GtExampleDependenciesResolver,the dependencies of a given example consists in message sends to other method constructing an example.,0,0,Keyimplementationpoints
51,BlChildrenCollection,class blchildrenarray stores children using an class array,1,0,Keyimplementationpoints
52,BlChildrenCollection,class blchildrenlinkedlist stores children using a class linkedlist,0,0,Keyimplementationpoints
53,BlChildrenCollection,class blchildrenorderedcollection stores children using a class orderedcollection,1,0,Keyimplementationpoints
1080,GtExampleFactory,i am a factory that can create class gtexample instances.,0,0,Keyimplementationpoints
73,BlChildrenOrderedCollectionExamples,i define examples for the class class blchildrenorderedcollection .,1,0,Keyimplementationpoints
77,BlChildrenOrderedCollectionExamples,example blchildrenorderedcollectionexamples #add,0,0,Keyimplementationpoints
78,BlChildrenOrderedCollectionExamples,example blchildrenorderedcollectionexamples #remove,1,0,Keyimplementationpoints
84,BlChildrenSubset,i capture a subset of children from a class blelement instance.,0,0,Keyimplementationpoints
85,BlChildrenSubset,i am an abstract class.,1,0,Keyimplementationpoints
1109,GtExampleInstanceSubject,i indicate that the subject of an example is an object.,0,0,Keyimplementationpoints
1110,GtExampleInstanceSubject,i am the default subject of an example.,1,0,Keyimplementationpoints
87,BlChildrenSubset,i exist to explicitly capture and combine various ways of filtering and iterating over children.,0,0,Keyimplementationpoints
88,BlChildrenSubset,"for example, class blchildrenreversed indicates that the user wants to explicitly iterate over elements in reverse order class blchildrenaccountedbylayout indicates that only should children taken into account by layout should be included.",1,0,Keyimplementationpoints
89,BlChildrenSubset,the example below shows a scenario of combining multiple ways to iterate over children.,0,0,Keyimplementationpoints
90,BlChildrenSubset,"by having an explicit object for each operation, the composition of operations can be inspected.",1,0,Keyimplementationpoints
91,BlChildrenSubset,example blchildrensubsetexamples #childrenwithmultiplecombinedsubsets,0,0,Keyimplementationpoints
1115,GtExampleProcessor,i am an abstract class for manipulating examples.,1,0,Keyimplementationpoints
92,BlChildrenSubset,i do not enforce a lazy api.,0,0,Keyimplementationpoints
1117,GtExampleProcessor,"for example, evaluating an example is to be treated differently from a debugging scenario, or from a scenario to recorver static dependencies.",1,0,Keyimplementationpoints
1118,GtExampleProcessor,i maintain a context that can be accessed from within the examples being processed during the execution of the processor.,0,0,Keyimplementationpoints
95,BlChildrenSubset,api,1,0,Keyimplementationpoints
1119,GtExampleProcessor,#value execute the processor.,0,0,Keyimplementationpoints
96,BlChildrenSubset,instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter.,1,0,Keyimplementationpoints
1120,GtExampleProcessor,"can return a value, depending on the processor.",0,0,Keyimplementationpoints
1121,GtExampleProcessor,#canprocess verifies if the processor can execute on the given example.,1,0,Keyimplementationpoints
1128,GtGradAbstractTreeLayout,this an implementation of a moen s tree layout algorithm.,0,0,Keyimplementationpoints
1133,GtGradAbstractTreeLayout,"however, this implementation offers the posibility of choosing the orientation vertical or horizontal.",1,0,Keyimplementationpoints
1142,GtGradAbstractTreeLayout,"in this implementation, we call the polylines contours.",0,0,Keyimplementationpoints
1143,GtGradAbstractTreeLayout,"when merging contours, minimum horizontal vertical offsets at which siblings can be placed with resepct to their upper left sibling depending of the layout s orientation are calculated",1,0,Keyimplementationpoints
1144,GtGradAbstractTreeLayout,"once the bottom up traversal is finished, calculation of offsets is finished as well.",0,0,Keyimplementationpoints
1145,GtGradAbstractTreeLayout,"at that point, the tree is traversed again, but this time from top root to the bottom.",1,0,Keyimplementationpoints
1146,GtGradAbstractTreeLayout,"during this second traversal, positions of the tree s nodes are set.",0,0,Keyimplementationpoints
