stratum,class,comment,Intent,Responsibilities,Collaborators,Keymessages,Keyimplementationpoints,Classreferences,Example
1,BlAnchorRelativeToElement,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,,,,,
1,BlArrowheadExamples,i contain examples of different types of blarrowheadelement,,i contain examples of different types of blarrowheadelement,,,,blarrowheadelement,
1,BlArrowheadSimpleArrow,"i am a simple arrow like arrowhead.
both my size and arrow length depend on the curve width.

it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle.

users can also customise nose angle that tells how wide should the arrow lines be spread.
the with of the outer arrows can be specified by changing border width of a simple arrow arrowhead.

i support both background and border paint and can have hollow inner triangle.","i am a simple arrow like arrowhead.
both my size and arrow length depend on the curve width.","i support both background and border paint and can have hollow inner triangle.
the with of the outer arrows can be specified by changing border width of a simple arrow arrowhead.",,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle.,,,users can also customise nose angle that tells how wide should the arrow lines be spread.
1,BlArrowheadTriangle,"i am a triangular arrow head.
my size depends on the width of a curve and hence can not be manually specified.

it is possible to have a border around triangle by specifying a border width of a triangle arrowhead.

i support background and border paints.
for hollow arrowhead let background be transparent.
for solid arrowhead make background paint be the same as border paint.
it is possible to specify different paints for border and background",i am a triangular arrow head.,"my size depends on the width of a curve and hence can not be manually specified.
i support background and border paints.
for hollow arrowhead let background be transparent.
for solid arrowhead make background paint be the same as border paint.
it is possible to specify different paints for border and background",,,it is possible to have a border around triangle by specifying a border width of a triangle arrowhead.,,
1,BlChicken,"how to run

blchicken open",,,,,,,"how to run

blchicken open"
1,BlChickenLeg,i am a single red chicken leg with two toes,i am a single red chicken leg with two toes,,,,,,
1,BlChildrenCollection,"i am an abstract collection of bloc elements that can be mutated. i am used by a class blelement to store its children.

i provide a data structure independent api for adding and removing children. i assume an index based way of working with children. my subclasses wrap concrete data structures for storing the actual children. bloc elements work with children only in terms of the api that i provide. hence, i only provide a minimum api needed to work with children, instead of the full collection api.

i allow elements to optimize working with children for different scenarious. for example, an array for storing children optimises for accessing fast accesses at any position. a linked list optimize for fast adding and removing. a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.

api

the following subclasses can be used to store children
class blchildrenarray stores children using an class array
class blchildrenlinkedlist stores children using a class linkedlist
class blchildrenorderedcollection stores children using a class orderedcollection
class blchildrenrope stores children using a class blcollectionrope

subclasses need to provide the implementation for methods adding and removing children.",i am an abstract collection of bloc elements that can be mutated.,"i provide a data structure independent api for adding and removing children. i assume an index based way of working with children.

i allow elements to optimize working with children for different scenarious. for example, an array for storing children optimises for accessing fast accesses at any position. a linked list optimize for fast adding and removing. a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.",i am used by a class blelement to store its children.,,,"class blelement
class blchildrenarray
class array
class blchildrenlinkedlist
class linkedlist
class blchildrenorderedcollection
class orderedcollection
class blchildrenrope
class blcollectionrope",
1,BlChildrenOrderedCollectionExamples,"i define examples for the class class blchildrenorderedcollection .

instances of class blchildrenorderedcollection are created by directly instatiating the class.
example blchildrenorderedcollectionexamples #emptychildrenexplicitcreation

bloc elements can then be added and removed from the collection.
example blchildrenorderedcollectionexamples #add

example blchildrenorderedcollectionexamples #remove",,i define examples for the class class blchildrenorderedcollection .,,,,,"bloc elements can then be added and removed from the collection
bloc elements can then be added and removed from the collection.
example blchildrenorderedcollectionexamples #add

example blchildrenorderedcollectionexamples #remove"
1,BlChildrenSubset,"i capture a subset of children from a class blelement instance.

i am an abstract class. my subclasses define the actual order and criteria for filtering children and iterating over the set of children.
i exist to explicitly capture and combine various ways of filtering and iterating over children. for example, class blchildrenreversed indicates that the user wants to explicitly iterate over elements in reverse order class blchildrenaccountedbylayout indicates that only should children taken into account by layout should be included.
the example below shows a scenario of combining multiple ways to iterate over children. by having an explicit object for each operation, the composition of operations can be inspected.
example blchildrensubsetexamples #childrenwithmultiplecombinedsubsets

i do not enforce a lazy api. subclasses can perform the filtering immediately or when iteration over children is required. i aim to maintain the composition of subsets while optimizing for speed whenever possible.

api
instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter.

subclasses need to override the method method blchildrensubset #subsetfrom to filter the elements from the given class blchildren instance. this can perform no filtering, filter elements, or also change the order of elements.

implementation details
internally the result of method blchildrensubset #subsetfrom is stored into an instance variable. this result is then used when accessing or iterating over elements. this decision was taken to allow iterators to perform work when the iterator is created and ensure a faster iteration.

to preserve the composition of iterators i hold a reference to the initial class blchildren instance.",i am an abstract class.,"i capture a subset of children from a class blelement instance.
i exist to explicitly capture and combine various ways of filtering and iterating over children.",,"api
instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter.","implementation details
internally the result of method blchildrensubset #subsetfrom is stored into an instance variable. this result is then used when accessing or iterating over elements. this decision was taken to allow iterators to perform work when the iterator is created and ensure a faster iteration.",,"for example, class blchildrenreversed indicates that the user wants to explicitly iterate over elements in reverse order class blchildrenaccountedbylayout indicates that only should children taken into account by layout should be included.
the example below shows a scenario of combining multiple ways to iterate over children. by having an explicit object for each operation, the composition of operations can be inspected.
example blchildrensubsetexamples #childrenwithmultiplecombinedsubsets"
1,BlClickEvent,"the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element.

the order of fired events

mouse down
mouse up
click",,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element.,,,"the order of fired events

mouse down
mouse up
click",,
1,BlCompulsoryCombinationTest,this class contains tests,,this class contains tests,,,,,
1,BlConcatenationRopeIterator,i am a special iterator used to iterate over concatenation rope,i am a special iterator used to iterate over concatenation rope,i am a special iterator used to iterate over concatenation rope,i am a special iterator used to iterate over concatenation rope,,,,
1,BlDecelerateInterpolator,"i am an interpolator where the rate of change starts out quickly and and then decelerates.

i am configurable using factor a degree to which the animation should be eased. setting factor to 10f produces an upside down y x^2 parabola. increasing factor above 10f makes exaggerates the ease out effect ie, it starts even faster and ends evens slower .

my formula is
f x 1 1 x ^n, where n 2 factor

i meant to be immutable, therefore factor can be only set using factory method #factor on my class side","i am an interpolator where the rate of change starts out quickly and and then decelerates.

i am configurable using factor a degree to which the animation should be eased.",i am an interpolator where the rate of change starts out quickly and and then decelerates.,,,"setting factor to 10f produces an upside down y x^2 parabola. increasing factor above 10f makes exaggerates the ease out effect ie, it starts even faster and ends evens slower .

my formula is
f x 1 1 x ^n, where n 2 factor

i meant to be immutable, therefore factor can be only set using factory method #factor on my class side",,
1,BlDevScripterCheckFiredEventsStep,"i check whether particular class blevent events were fired on a class blelement target.

example

here you can see how to configure a fire and check a click event on a child element
example bldevscripterexamples #clickcheck previewexpanded true previewheight 400",,i check whether particular class blevent events were fired on a class blelement target.,,,,,"example

here you can see how to configure a fire and check a click event on a child element
example bldevscripterexamples #clickcheck previewexpanded true previewheight 400"
