,comment_sentence,partition,category
629,i am used together with brtext and brtextstyler to style text.,0,Responsibilities
630,"i can be used, for example, to delay an action in a data set until currently running animations are complete.",0,Responsibilities
631,i store metadata for this package.,0,Responsibilities
632,the value of the src attribute specifies the uri of the image that will decorate the button.,0,Responsibilities
633,i know how to extract the dependencies of a given example.,0,Responsibilities
634,i layout class gtgraphtreemapnode along my shorter side height .,0,Responsibilities
635,user supplied data is placed in the data model.,0,Responsibilities
636,access the duration how long ago the image booted as follows,0,Responsibilities
637,i define an abstract api of sparta canvas that all concrete implementations must have.,0,Responsibilities
638,the enclosing circle is computed using the matou ek sharir welzl http www^inf.ethz^ch personal emo publfiles subexlinprog alg16 96^pdf algorithm.,0,Responsibilities
639,i revert to the old 33.0 behavior which is easier for tests.,0,Responsibilities
640,i m a pillar specific class to manage code not generated for the configuration class.,0,Responsibilities
641,is sent after button is added to the scene graph,0,Responsibilities
642,we ahave the possibility of giving multiple templates.,0,Responsibilities
643,"qualitative schemes do not imply magnitude differences between legend classes, and hues are used to create the primary visual differences between classes.",0,Responsibilities
644,it is usefull to get parsing evaluation and stream position.,0,Responsibilities
645,i m also responsible for creation of filter primitives filter types that are used with filter operation.,0,Responsibilities
646,i am a root class of geometry elements elements driven by geometry anchors.,0,Responsibilities
647,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,0,Responsibilities
648,i m close to a latex or html paragraph.,0,Responsibilities
649,a wamemoryinput is a dialog that allows the user to enter an amount of memory.,0,Responsibilities
650,"representations of other existing items in the data set are still considered up to date and will not be rebound, though their positions may be altered.",0,Responsibilities
651,you can import new icons using method name brglamorousicons class #importiconsfromdirectory using the script below.,0,Responsibilities
652,i compute the smallest circle that encloses the specified array of circles.,0,Responsibilities
653,i execute a commit of the current changes staged for commit and push a tag corresponding to the version number of the repository release.,0,Responsibilities
654,"i return failure, if the delegate parser did not consumed any input.",0,Responsibilities
655,"here are tests that would be in math tests dhb numerical, if it could construct random matrices",0,Responsibilities
656,famixtrait models a trait as it can be found in pharo or php.,0,Responsibilities
657,"however, this implementation offers the posibility of choosing the orientation vertical or horizontal.",0,Responsibilities
658,stroke options are used in stroking operations.,0,Responsibilities
659,i use the prpillargrammar and i build a prdocument.,0,Responsibilities
660,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.,0,Responsibilities
661,a rtrotatedlabel describes rotated labels.,0,Responsibilities
662,is sent by buttonattribute after button is created.,0,Responsibilities
663,a am3 method is implicit.,0,Responsibilities
664,"i edit text and provide high level abstractions of essential text editor functionality such as selection, cursor, text insertions and deletions.",0,Responsibilities
665,i make sure that content element fits horizontally within scalable element.,0,Responsibilities
666,i define an api of a text run an object that holds an array of glyphs that represent a piece of text.,0,Responsibilities
667,"calculation of positions factors in the mentioned offsets, as well as the positions of the node s parent and the layout s node and level distance properties.",0,Responsibilities
668,i implement a basic infrastructure of event management.,0,Responsibilities
669,wauptimetracker imageboottime.,0,Responsibilities
670,i split a piece of text into line segments class brtexteditorlinesegment,0,Responsibilities
671,"i am meant to be polymorphic with rectangle and path and can be used as path in various operations, except clipping.",0,Responsibilities
672,i define the default drawing strategy before & after .,0,Responsibilities
673,i am a special iterator used to iterate over concatenation rope,0,Responsibilities
674,i provide a data structure independent api for adding and removing children.,0,Responsibilities
675,i increment the major number of a semantic version.,0,Responsibilities
676,famixnamespacegroup is a moosegroup containing only famix enities of type famixnamespace.,0,Responsibilities
677,i am attached to a bloc element and define the visual structure of that bloc element.,0,Responsibilities
678,i am an event handler registry used by dispatchers in order to manage event handlers.,0,Responsibilities
679,"if the graph is not connected, then it finds a minimum spanning forest a minimum spanning tree for each connected component .",0,Responsibilities
680,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,0,Responsibilities
681,the protection filter ensures that the wrapped request handler only accepts requests from the same ip.,0,Responsibilities
682,"ppparserreplacerule replaces a matched grammar with another grammar, which may include patterns from the matching grammar.",0,Responsibilities
683,i store reference to the next line in order to avoid unnecessary array of lines creation for a very common case of just one line,0,Responsibilities
684,this enables users to perform manual parsing or to embed other parser frameworks into petitparser.,0,Responsibilities
685,a bernoulligeneratortest is a test class for testing the behavior of bernoulligenerator,0,Responsibilities
686,"the method is initialized by g 0 , g 1 and g 0 .",0,Responsibilities
687,i create a filled triangle arrowhead,0,Responsibilities
688,waerrorhandler catches errors and warnings and provides two methods for handling each type of exception,0,Responsibilities
689,the form element acts as a container for input elements and buttons.,0,Responsibilities
690,"at that point, the tree is traversed again, but this time from top root to the bottom.",0,Responsibilities
691,the version number already exists in the repository.,0,Responsibilities
692,they can be found in filters protocol.,0,Responsibilities
693,i represent a font face source and know how to retrieve font contents from it,0,Responsibilities
694,it imports all png files and creates class methods with the same name.,0,Responsibilities
695,"the exponential distribution has a single parameter beta, here denoted as mean.",0,Responsibilities
696,i capture a subset of children from a class blelement instance.,0,Responsibilities
697,description,0,Responsibilities
698,this configuration is a the configuration of the export.,0,Responsibilities
699,"i just visit each node in the builder, and print it on the transcript.",0,Responsibilities
700,i am sent by installer when it tries to log some messages.,0,Responsibilities
701,i split an area into rectangles that are close to squares aspect ratio 1 as much as possible.,0,Responsibilities
702,i gather all results as prbooktestresult s in alltestsresults.,0,Responsibilities
703,i use class gtgraphtreemapsquarifystep to split area into sub areas and measure class gtgraphtreemapnode positions and extends.,0,Responsibilities
704,a wadevelopment is a collection of convenience methods for dealing with seaside development in squeak.,0,Responsibilities
705,"a phase takes an input, transforms it and returns an output.",0,Responsibilities
706,the main method is #tag that allow you to write something like this,0,Responsibilities
707,given a data model walabelledformdialog displays a label and input field for each instance variable of interest.,0,Responsibilities
708,overview,0,Responsibilities
709,load html from a remote file and inject it into the dom.,0,Responsibilities
710,i define an api of stroke options object.,0,Responsibilities
711,"i am a helper trait that defines basic font properties such as weight, style and stretch",0,Responsibilities
712,the moosevisuallocator is a simple template that offers a list of classes on the left hand side and some presentation on the right hand side.,0,Responsibilities
713,"i am a composite interaction model responsible for managing widget state such as pressed, hovered, focused.",0,Responsibilities
714,i represent a property of the object currently been imported while it is not yet imported.,0,Responsibilities
715,i make it possible to embed bloc space within arbitrary morphs.,0,Responsibilities
716,for hollow arrowhead let background be transparent.,0,Responsibilities
717,"when merging contours, minimum horizontal vertical offsets at which siblings can be placed with resepct to their upper left sibling depending of the layout s orientation are calculated",0,Responsibilities
718,i describe how background of a material toggle button changes due to toggle events,0,Responsibilities
719,i create a filled circle arrow head with the border and background equal to the color of the curve,0,Responsibilities
720,"additionally, this implementation supports alignment of nodes top, center, bottom in case of the vertical layout and left, center, right in case of the horizontal layout .",0,Responsibilities
721,a linked list optimize for fast adding and removing.,0,Responsibilities
722,tasker is responsible for collectin class gttaskertask tasks and executing them when requested.,0,Responsibilities
723,at system startup the imageboottime is re set automatically.,0,Responsibilities
724,an attach point indicates where lines start and end.,0,Responsibilities
725,i exist for legacy purposes.,0,Responsibilities
726,i only allow letters,0,Responsibilities
727,this class contains tests,0,Responsibilities
728,i will be useful until all my values are resolved.,0,Responsibilities
729,i allow to export several views,0,Responsibilities
730,i am sent when anchor s position changed,0,Responsibilities
731,kruskal s algorithm is a greedy algorithm in graph theory that finds a minimum spanning tree for a connected weighted graph.,0,Responsibilities
732,i am the common superclass for pharo encoders.,0,Responsibilities
733,i hold all data relevant for an address,0,Responsibilities
734,i create an ellipse element,0,Responsibilities
735,i update the size of a page preview element in a scroll bar according to the size of a corresponding page,0,Responsibilities
736,then abstracts will alternately change templates if you specified mutliple directories.,0,Responsibilities
737,i am visitable.,0,Responsibilities
738,i make a copy of an application.,0,Responsibilities
739,"in this implementation, we call the polylines contours.",0,Responsibilities
740,a pluggable parser that passes the parser stream into a block.,0,Responsibilities
741,there is a separate builder for every single operation.,0,Responsibilities
742,i create the object only if someone clicks on my tab view .,0,Responsibilities
743,a waimagestatus displays information about the current smalltalk image.,0,Responsibilities
744,with templates the annotation is remplaced by a raw document in html.,0,Responsibilities
745,i am sent by a look to request selection update from the view model,0,Responsibilities
746,"i am a class to create editable label shapes, but do not forget that roassal is for visualizations not to build morphs",0,Responsibilities
747,"each 5 seconds, the website is regenerated",0,Responsibilities
748,i exist to explicitly capture and combine various ways of filtering and iterating over children.,0,Responsibilities
749,convert from the level of a pillar heading to the level of heading in the exported document.,0,Responsibilities
750,"this is done through calculation of differences in sizes of nodes compared to the largest nodes on the same level, as well as the differences in sizes of their parents compared to the largest nodes on the parent level.",0,Responsibilities
751,wauptimetracker imageuptime.,0,Responsibilities
752,rtdata renders bars and dots in vertical way,0,Responsibilities
753,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,0,Responsibilities
754,an interpolator a way to create lines in svg,0,Responsibilities
755,i indicate a passive release as no actions need to be executed.,0,Responsibilities
756,a rtellipsetest is a test class for testing the behavior of rtellipse,0,Responsibilities
757,the iframe element allows authors to insert a frame within a block of text.,0,Responsibilities
758,we can also choose they way abstracts will be represented by specifying templates.,0,Responsibilities
759,it is possible to specify different paints for border and background,0,Responsibilities
760,today we will learn how to compose an editor,0,Responsibilities
761,i define an api of a paint.,0,Responsibilities
762,"i am a class to create visualizations about rings, center is the root of the tree and arcs are the sub trees.",0,Responsibilities
763,i build sparta canvas using moz2d backend,0,Responsibilities
764,an html canvas that facilitates writing html to a stream.,0,Responsibilities
765,"for example, an array for storing children optimises for accessing fast accesses at any position.",0,Responsibilities
766,plugins are an easy way to add or remove additional tools without changing the codebase.,0,Responsibilities
767,a rtdecoratedtest is a test class for testing the behavior of rtdecorated,0,Responsibilities
768,this is a structural change event.,0,Responsibilities
769,i am a class helper to do the layout in rtcirculartreemapbuilder,0,Responsibilities
770,emitted when the application has been resumed.,0,Responsibilities
771,to add a new plugin make sure you choose the right superclass so that the tool can detect your code.,0,Responsibilities
772,a rttimelinesettest is a test class for testing the behavior of rttimelineset,0,Responsibilities
773,"platforms should implement their own subclasses, specifying behaviour for all unimplemented methods.",0,Responsibilities
774,i am a class that display general information about roassal,0,Responsibilities
775,i am an interpolator where the rate of change starts out quickly and and then decelerates.,0,Responsibilities
776,i store the extents of a single glyph or a string of glyphs in user space coordinates.,0,Responsibilities
777,i contain examples of element bounds api,0,Responsibilities
778,"for templates values, you can not specify directories, only ^mustache files.",0,Responsibilities
779,i support both background and border paint and can have hollow inner triangle.,0,Responsibilities
780,i can influence the bounds of my owner used to clip my owner .,0,Responsibilities
781,for solid arrowhead make background paint be the same as border paint.,0,Responsibilities
782,the class implements the identification of patterns in fca lattices.,0,Responsibilities
783,i model options for configuring how releases are performed.,0,Responsibilities
784,the buckets are formed by creating partitions uniformly.,0,Responsibilities
785,in order to create and perform a drawing operation users should rely on corresponding builder.,0,Responsibilities
786,consider,0,Responsibilities
787,i reset both the patch and minor parts of the version number to zero.,0,Responsibilities
788,it create a footnote with note specified in parameter.,0,Responsibilities
789,i contain experimental examples that only work in manually prepared laboratory environments.,0,Responsibilities
790,"the appearance of all plugins, such as icons, has to be configured using css.",0,Responsibilities
791,my size depends on the width of a curve and hence can not be manually specified.,0,Responsibilities
792,i do the hard job of visually updating selection by requesting segment holders to partially update themselves,0,Responsibilities
793,each time a value is resolved i ll check if i can be resolved.,0,Responsibilities
794,my position is equal to the left center of a reference element,0,Responsibilities
795,i indicate to the universe that is time to synchronize the state of the elements.,0,Responsibilities
796,i am used to record text selection intervals while user drags mouse over the text editor.,0,Responsibilities
797,the histogram gives you a distribution frequency over the points given.,0,Responsibilities
798,i transform composite key combination formula into a cnf https en^wikipedia.org wiki conjunctive normal form,0,Responsibilities
799,"a paint is transformable and can be used with one of extend modes, for example repeat, reflect or clamp.",0,Responsibilities
800,"once the bottom up traversal is finished, calculation of offsets is finished as well.",0,Responsibilities
801,"more than a draggable view, it allows to keep a mark about your position in the view and it scale for large views.",0,Responsibilities
802,i am an event listener that listens anchor moved event send by anchor,0,Responsibilities
803,a toodependencyqueries defines a vocabulary to compute dependencies of object oriented entities.,0,Responsibilities
804,famixannotationtypegroup is a moosegroup containing only famix enities of type famixannotationtype.,0,Responsibilities
805,i am useful in situations when the object that has the view definition is expensive to create.,0,Responsibilities
806,continuous attach point which presumes both shapes are not rotated rectangles,0,Responsibilities
807,"famixpackage represents a package in the source language, meaning that it provides a means to group entities without any baring on lexical scoping.",0,Responsibilities
808,with me we can add a transformation to remplace an annotation to a pillar file by his tree.,0,Responsibilities
809,i assume an index based way of working with children.,0,Responsibilities
810,i am a test resource building a famixstmodel with some of kgb packages used for metrics tests.,0,Responsibilities
811,i am used by grid layout instead of dictionary of span value key value pair for performance reasons.,0,Responsibilities
812,highlight to indicates that some interaction be can done.,0,Responsibilities
813,this is particularly helpful when the user must choose from a long list of options groups of related choices are easier to grasp and remember than a single long list of options.,0,Responsibilities
814,often can be triggered by mouse wheel click,0,Responsibilities
815,i contain examples of position change logging functionality,0,Responsibilities
816,i am sent by snippet widget looks when they request to receive a snippet model from the widget model,0,Responsibilities
817,i contain examples of a grid layout,0,Responsibilities
818,to use other html widgets for input for a datum implement the method renderxxxon where xxx is the symbol for the row.,0,Responsibilities
819,they can be found in api protocol.,0,Responsibilities
820,i contain examples of space related events,0,Responsibilities
821,i support background and border paints.,0,Responsibilities
822,describe a cubic bezier spline,0,Responsibilities
823,i allow elements to optimize working with children for different scenarious.,0,Responsibilities
