Project,class,Comment,Comment size,Intent(who I am),Responsibilities(What I do and What I know),Collaborators,Key messages,Key implementation points,Instance variables,Reference to other resources (other class(es)/documentation),Subclasses Explanation,Class references,Example,To do comments,Coding guidlines,Warnings/ Note,Discourse,Links,Extension,Recommendations,Observations,Precondition,Dependencies,License/ copyright information,Other,Class,Intent,Responsibilities,ReferenceToOtherResources,Todo comments,Warnings,Extensions,Preconditions,License/copyright
Pillar,PRPreformatted,I am preformatted text or source code. My children are instances of *PRText*.,1,I am preformatted text or source code.,,,,,,,My children are instances of *PRText*.,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRHeadingLevelOffsetTransformer,"Convert from the level of a Pillar heading to the level of heading in the exported document. For example, a ==headingLevelOffset== of 3 converts a 1st level Pillar heading to an ==<h4>== in HTML.",1,,Convert from the level of a Pillar heading to the level of heading in the exported document,,,,,,,," For example, a ==headingLevelOffset== of 3 converts a 1st level Pillar heading to an ==<h4>== in HTML.",,,,,,,,,,,,,,,,,,,,,
Pillar,PRUnorderedList,I am an unordered list. I am typically used for unnumbered lists,1,I am an unordered list,, I am typically used for unnumbered lists,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRSyntaxError,An error about syntax,1,An error about syntax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRParseWarning,I am a warning for the parse of a Pillar file.,1,I am a warning for the parse of a Pillar file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pillar,ChrysalPillarishConfiguration,I'm a pillar specific class to manage code not generated for the configuration class. Pillar code should not use me but my subclass.,1,I'm a pillar specific class to manage code not generated for the configuration class. ,I'm a pillar specific class to manage code not generated for the configuration class. ,,,,,, Pillar code should not use me but my subclass.,,,,,,,,,Pillar code should not use me but my subclass.,,,,,,,,,,,,,,
Pillar,PRObject,"I am a superclass of most objects within Pier. I hold a dictionary of properties, so that users can easily annotate me with new values. I am visitable.",1,I am a superclass of most objects within Pier.," I hold a dictionary of properties, so that users can easily annotate me with new values. I am visitable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRPillarParserMain,"I'm responsible for starting the parsing process of a Pillar document. If possible, I will use a compiled version of PRPillarParser. I will also use the STON reader to read potentital metadata at the begining of the stream.",1,,I'm responsible for starting the parsing process of a Pillar document,"If possible, I will use a compiled version of PRPillarParser. I will also use the STON reader to read potentital metadata at the begining of the stream.",,,,,,"PRPillarParser
STON",,,,,,,,,,,,,,,,,,,,,,
Pillar,PRHTMLScriptLanguage,Hypertext markup language,1,Hypertext markup language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pillar,PRBashScriptLanguage,Bash scripting language,1,Bash scripting language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
