,comment_sentence,partition,category
1050,"the my namespace object, which will retrieve the operation via",0,DevelopmentNotes
1051,"methods, with some inspiration from r s stringr package.",0,DevelopmentNotes
1052,use ^get and ^set and include domain and path args in order to be more specific.,0,DevelopmentNotes
1053,to prevent the,0,DevelopmentNotes
1054,say a user has created a custom operator called my namespace my op .,0,DevelopmentNotes
1055,copying from the large tensor.,0,DevelopmentNotes
1056,"by default, matplotlib is used.",0,DevelopmentNotes
1057,the two sbcharsetprobers identify that the text is in,0,DevelopmentNotes
1058,spatialrefsys objects to reduce redundant code.,0,DevelopmentNotes
1059,this class and its subclasses are responsible for emitting schema changing,0,DevelopmentNotes
1060,fold unfold input divisor input,0,DevelopmentNotes
1061,class which unlike gzip^gzipfile has no support for,0,DevelopmentNotes
1062,won t do any harm.,0,DevelopmentNotes
1063,"print %s %s % s, fn eval s",0,DevelopmentNotes
1064,in a different way during application.,0,DevelopmentNotes
1065,"to be supplied in breaks format, then converted by the subclass method",0,DevelopmentNotes
1066,1.,0,DevelopmentNotes
1067,"when these issues have been addressed, this metaclass could be used to",0,DevelopmentNotes
1068,"this is a subclass of the text type str in python 3,",0,DevelopmentNotes
1069,attr per sample weights .,0,DevelopmentNotes
1070,interactive subclass is what the command line arguments will use.,0,DevelopmentNotes
1071,"the input string, it only verifies that the specified parse",0,DevelopmentNotes
1072,nesterov momentum is based on the formula from,0,DevelopmentNotes
1073,fold params dict kernel size .,0,DevelopmentNotes
1074,this is,0,DevelopmentNotes
1075,.,0,DevelopmentNotes
1076,"instead, the",0,DevelopmentNotes
1077,"ashish vaswani, noam shazeer, niki parmar, jakob uszkoreit, llion jones, aidan n gomez,",0,DevelopmentNotes
1078,"so, if the blocks overlap, they are not",0,DevelopmentNotes
1079,inverses of each other.,0,DevelopmentNotes
1080,"used to prepare a class preparedrequest preparedrequest , which is sent to the server.",0,DevelopmentNotes
1081,all keys are expected to be strings.,0,DevelopmentNotes
1082,"not normally instantiated by user code, but rather by a",0,DevelopmentNotes
1083,if it doesn t fit in memory,0,DevelopmentNotes
1084,where math hat x is the estimated statistic and math x t is the,0,DevelopmentNotes
1085,an op namespace to dynamically bind operators into python.,0,DevelopmentNotes
