,comment_sentence,partition,category
531,kde kernel density estimation plot,0,Parameters
532,indicates missing .,0,Parameters
533,spatial dimensions.,0,Parameters
534,default 20,0,Parameters
535,"a redirect is a http response with a status code 301, 302, 303, 307 or",0,Parameters
536,line comment prefix,0,Parameters
537,"a form that creates a user, with no privileges, from the given username and",0,Parameters
538,useful default for linux and os x systems as well as web,0,Parameters
539,"padding int or tuple, optional implicit zero padding to be added on",0,Parameters
540,"if string, load colormap with that",0,Parameters
541,param count this flag makes an option increment an integer.,0,Parameters
542,params iterable iterable of parameters to optimize or dicts defining,0,Parameters
543,take place.,0,Parameters
544,"some losses, there are multiple elements per sample.",0,Parameters
545,.,0,Parameters
546,the dtype of the interval bounds.,0,Parameters
547,extensions,0,Parameters
548,default 01,0,Parameters
549,param cookies dictionary or cookiejar of cookies to attach to this request.,0,Parameters
550,func contextfunction s get the active context passed as first argument,0,Parameters
551,allows plotting of one column versus another.,0,Parameters
552,comment end string,0,Parameters
553,default value is,0,Parameters
554,returns,0,Parameters
555,"acceptable values are none, xlrd , openpyxl or odf .",0,Parameters
556,note that for,0,Parameters
557,"math text padding left , math text padding right ,",0,Parameters
558,variable start string,0,Parameters
559,"eps float, optional term added to the denominator to improve",0,Parameters
560,bytecode cache,0,Parameters
561,reshaping.,0,Parameters
562,notes for more details regarding sparse gradients.,0,Parameters
563,output size the target output size of the image of the form d x h x w.,0,Parameters
564,"copy bool, default false",0,Parameters
565,block start string,0,Parameters
566,see,0,Parameters
567,make a copy of input ndarray.,0,Parameters
568,algorithm from the paper on the convergence of adam and beyond,0,Parameters
569,"wsgi middleware that intercepts calls to the static files directory, as",0,Parameters
570,applies only when data is a list or array of samples other types of,0,Parameters
571,password.,0,Parameters
572,autoplay bool,0,Parameters
573,help page.,0,Parameters
574,default 1,0,Parameters
575,requires migrations checks,0,Parameters
576,attr stride controls the stride for the sliding blocks.,0,Parameters
577,default 0,0,Parameters
578,"is set to false , the losses are instead summed for each minibatch.",0,Parameters
579,dataset dataset the whole dataset,0,Parameters
580,versionadded 021.0,0,Parameters
581,of the following attributes,0,Parameters
582,keep trailing newline,0,Parameters
583,data array like 1 dimensional,0,Parameters
584,block end string,0,Parameters
585,set to 0 to fail on the first retry of this type.,0,Parameters
586,how many times to retry on read errors.,0,Parameters
587,ignore default none used to define grammars typically quoted strings and,0,Parameters
588,param num pools,0,Parameters
589,default is 05,0,Parameters
590,mean computes the average of the values,0,Parameters
591,"if given and a string, this will be used as prefix for line based",0,Parameters
592,out channels int number of channels produced by the convolution,0,Parameters
593,is renormalized to have norm attr max norm .,0,Parameters
594,"if not given here or in dtype , the resulting",0,Parameters
595,values to use for the xticks.,0,Parameters
596,param data the body to attach to the request.,0,Parameters
597,param int total,0,Parameters
598,"x label or position, default none",0,Parameters
599,warning,0,Parameters
600,"a short description of the command, which will be printed in",0,Parameters
601,param method http method to use.,0,Parameters
602,tolerance change float termination tolerance on function,0,Parameters
603,ignored,0,Parameters
604,options to pass to matplotlib plotting method.,0,Parameters
605,modifications on environments after the first template was loaded,0,Parameters
606,python 36 or later.,0,Parameters
607,when reduce is false .,0,Parameters
608,name from matplotlib.,0,Parameters
609,as of jinja 24 this can also,0,Parameters
610,"exhausted, to raise a maxretryerror, or to return a response with a",0,Parameters
611,default false,0,Parameters
612,mask numpy^ndarray,0,Parameters
613,"included in the skipped test if found before the target expression is found,",0,Parameters
614,will be transposed to meet matplotlib s default layout.,0,Parameters
615,"categories sequence, optional",0,Parameters
616,delay .,0,Parameters
617,into consideration.,0,Parameters
618,default 2 .,0,Parameters
619,param files dictionary of filename fileobject files to multipart upload.,0,Parameters
620,ylim 2 tuple list,0,Parameters
621,optimized,0,Parameters
622,"module tracks the running mean and variance, and when set to false ,",0,Parameters
623,"sparse bool, optional if true , gradient w^r.t. attr weight matrix will be a sparse tensor.",0,Parameters
624,sides for attr padding number of points for each dimension.,0,Parameters
625,input.,0,Parameters
626,"headers to include with all requests, unless other headers are given",0,Parameters
627,title to use for the plot.,0,Parameters
628,if a list is passed and subplots is,0,Parameters
629,"file does indeed not exist, then all further checks are",0,Parameters
630,defaults to .,0,Parameters
631,"for 00s, 02s, 04s, .",0,Parameters
632,replaces a list of migration names,0,Parameters
633,statistics in both training and eval modes.,0,Parameters
634,param show default controls if the default value should be shown on the,0,Parameters
635,param url url to send.,0,Parameters
636,"param auth auth handler or user, pass tuple.",0,Parameters
637,"when attr reduce is false , returns a loss per",0,Parameters
638,lstrip blocks,0,Parameters
639,applications.,0,Parameters
640,axis grid lines.,0,Parameters
641,"padding mode string, optional .",0,Parameters
642,"scale grad by freq boolean, optional if given, this will scale gradients by the inverse of frequency of",0,Parameters
643,note this option is not,0,Parameters
644,"dilation int or tuple, optional a parameter that controls the",0,Parameters
645,parameter will be pulled from an environment,0,Parameters
646,parameter groups,0,Parameters
647,"bias bool, optional if true , adds a learnable bias to the output.",0,Parameters
648,"param readable if true, a readable check is performed.",0,Parameters
649,attr dilation controls the spacing between the kernel points also known as the trous algorithm.,0,Parameters
650,bar vertical bar plot,0,Parameters
651,args,0,Parameters
652,the categories for the categorical.,0,Parameters
653,"these are retries made on responses, where status code matches",0,Parameters
654,"and attr reduce are in the process of being deprecated, and in the meantime,",0,Parameters
655,"if true, draw a table using the data in the dataframe and the data",0,Parameters
656,origin is an origin object or duck type and status is a string with the,0,Parameters
657,path to a local file to load the data from.,0,Parameters
658,call is called with,0,Parameters
659,between retries.,0,Parameters
660,"by default, we only retry on methods which are considered to be",0,Parameters
661,attr groups .,0,Parameters
662,"include bool bool, default is false",0,Parameters
663,value parameter changes default 1e 9 .,0,Parameters
664,name to be stored in the index.,0,Parameters
665,should the optimizer be enabled?,0,Parameters
666,default value is false .,0,Parameters
667,variable in case a prefix is defined on the,0,Parameters
668,kwargs,0,Parameters
669,"can be a tuple d, h, w or a single d for a cube d x d x d.",0,Parameters
670,rate integer,0,Parameters
671,"path^local.localpath ,",0,Parameters
672,variable end string,0,Parameters
673,autoescape,0,Parameters
674,loops.,0,Parameters
675,shape,0,Parameters
676,detail.,0,Parameters
677,the sequence that starts a newline.,0,Parameters
678,use index as ticks for x axis.,0,Parameters
679,it,0,Parameters
680,recently used pool.,0,Parameters
681,failon default none define expressions that are not allowed to be,0,Parameters
682,a 1 d boolean dtype array indicating missing values true,0,Parameters
683,versionchanged 025.0,0,Parameters
