comment_sentence_id,class,comment_sentence,partition,instance_type,category
1,AccessMixin,abstract cbv mixin that gives access mixins the same customizable,0,0,Usage
2,AccessMixin,functionality.,1,0,Usage
5,AmbiguityError,more than one migration matches a name prefix.,0,0,Usage
7,AppConfigStub,stub of an appconfig.,1,0,Usage
8,AppConfigStub,only provides a label and a dict of models.,0,0,Usage
520,MigrationGraph,"a node should be a tuple app path, migration name .",1,0,Usage
11,Archive,the external api class that encapsulates an archive implementation.,0,0,Usage
14,ArchiveIndexView,top level archive of date based items.,1,0,Usage
16,Atomic,guarantee the atomic execution of a given block.,0,0,Usage
538,MigrationLoader,load migration files from disk and their status from the database.,1,0,Usage
543,MigrationLoader,"on initialization, this class will scan those directories, and open and",0,0,Usage
544,MigrationLoader,"read the python files, looking for a class called migration, which should",1,0,Usage
545,MigrationLoader,inherit from django^db.migrations^migration.,0,0,Usage
546,MigrationLoader,see,1,0,Usage
547,MigrationLoader,django^db.migrations^migration for what that looks like.,0,0,Usage
548,MigrationLoader,some migrations will be marked as replacing another set of migrations.,1,0,Usage
549,MigrationLoader,these are loaded into a separate set of migrations away from the main ones.,0,0,Usage
550,MigrationLoader,if all the migrations they replace are either unapplied or missing from,1,0,Usage
551,MigrationLoader,"disk, then they are injected into the main set, replacing the named migrations.",0,0,Usage
552,MigrationLoader,any dependency pointers to the replaced migrations are re pointed to the,1,0,Usage
553,MigrationLoader,new migration.,0,0,Usage
50,AtomicTests,tests for the atomic decorator and context manager.,1,0,Usage
51,AtomicTests,the tests make assertions on internal attributes because there isn t a,0,0,Usage
52,AtomicTests,robust way to ask the database for its current transaction state.,1,0,Usage
53,AtomicTests,since the decorator syntax is converted into a context manager see the,0,0,Usage
54,AtomicTests,"implementation , there are only a few basic tests with the decorator",1,0,Usage
55,AtomicTests,syntax and the bulk of the tests use the context manager syntax.,0,0,Usage
62,AutoFieldMeta,metaclass to maintain backward inheritance compatibility for autofield.,1,0,Usage
574,MigrationQuestioner,give the autodetector responses to questions it might have.,0,0,Usage
63,AutoFieldMeta,it is intended that autofieldmixin become public api when it is possible to,1,0,Usage
64,AutoFieldMeta,create a non integer automatically generated field using column defaults,0,0,Usage
65,AutoFieldMeta,stored in the database.,1,0,Usage
70,AutoFieldMeta,"when these issues have been addressed, this metaclass could be used to",0,0,Usage
582,MigrationWriter,take a migration instance and is able to produce the contents,1,0,Usage
71,AutoFieldMeta,deprecate inheritance from autofield and use of isinstance with autofield,0,0,Usage
583,MigrationWriter,of the migration file from it.,1,0,Usage
72,AutoFieldMeta,for detecting automatically generated fields.,0,0,Usage
586,ModelBase,metaclass for all models.,1,0,Usage
588,ModelSignal,signal subclass that allows the sender to be lazily specified as a string,0,0,Usage
589,ModelSignal,of the app label^modelname form.,1,0,Usage
592,MultiPartParser,a rfc2388 multipart form data parser.,0,0,Usage
593,MultiPartParser,multivaluedict^parse reads the input stream in chunk size chunks,1,0,Usage
594,MultiPartParser,"and returns a tuple of multivaluedict post , multivaluedict files .",0,0,Usage
84,BadSignature,signature does not match.,1,0,Usage
86,BarAccount,a service specific account of type bar.,0,0,Usage
598,MultiValueDict,a subclass of dictionary customized to handle multiple values for the,1,0,Usage
599,MultiValueDict,same key.,0,0,Usage
88,BaseCommand,the base class from which all management commands ultimately,1,0,Usage
89,BaseCommand,derive.,0,0,Usage
90,BaseCommand,use this class if you want access to all of the mechanisms which,1,0,Usage
91,BaseCommand,parse the command line arguments and work out what code to call in,0,0,Usage
92,BaseCommand,"response if you don t need to change any of that behavior,",1,0,Usage
93,BaseCommand,consider using one of the subclasses defined in this file.,0,0,Usage
611,MultiValueDict,"this class exists to solve the irritating problem raised by cgi^parse qs,",1,0,Usage
612,MultiValueDict,"which returns a list for every key, even though most web forms submit",0,0,Usage
613,MultiValueDict,single name value pairs.,1,0,Usage
116,BaseCommand,"thus, the handle method is typically the starting point for",0,0,Usage
117,BaseCommand,subclasses many built in commands and command types either place,1,0,Usage
118,BaseCommand,"all of their logic in handle , or perform some additional",0,0,Usage
119,BaseCommand,parsing work in handle and then delegate from it to more,1,0,Usage
120,BaseCommand,specialized methods as needed.,0,0,Usage
121,BaseCommand,several attributes affect behavior at various steps along the way,1,0,Usage
633,MultiValueField,aggregate the logic of multiple fields.,0,0,Usage
122,BaseCommand,help,1,0,Usage
634,MultiValueField,"its clean method takes a decompressed list of values, which are then",0,0,Usage
123,BaseCommand,"a short description of the command, which will be printed in",1,0,Usage
635,MultiValueField,cleaned into a single value according to self^fields.,0,0,Usage
636,MultiValueField,each value in,1,0,Usage
125,BaseCommand,output transaction,0,0,Usage
637,MultiValueField,this list is cleaned by the corresponding field the first value is,1,0,Usage
126,BaseCommand,a boolean indicating whether the command outputs sql,0,0,Usage
638,MultiValueField,"cleaned by the first field, the second value is cleaned by the second",1,0,Usage
127,BaseCommand,"statements if true , the output will automatically be",0,0,Usage
639,MultiValueField,"field, etc once all fields are cleaned, the list of clean values is",1,0,Usage
128,BaseCommand,wrapped with begin and commit .,0,0,Usage
640,MultiValueField,compressed into a single value.,1,0,Usage
129,BaseCommand,default value is,0,0,Usage
130,BaseCommand,false .,1,0,Usage
131,BaseCommand,requires migrations checks,0,0,Usage
132,BaseCommand,"a boolean if true , the command prints a warning if the set of",1,0,Usage
133,BaseCommand,migrations on disk don t match the migrations in the database.,0,0,Usage
134,BaseCommand,requires system checks,1,0,Usage
135,BaseCommand,"a boolean if true , entire django project will be checked for errors",0,0,Usage
136,BaseCommand,prior to executing the command.,1,0,Usage
138,BaseCommand,to validate an individual application s models,0,0,Usage
139,BaseCommand,"rather than all applications models, call",1,0,Usage
140,BaseCommand,"self^check app configs from handle , where app configs",0,0,Usage
141,BaseCommand,is the list of application s configuration provided by the,1,0,Usage
142,BaseCommand,app registry.,0,0,Usage
654,MultiWidget,a widget that is composed of multiple widgets.,1,0,Usage
655,MultiWidget,"in addition to the values added by widget^get context , this widget",0,0,Usage
656,MultiWidget,adds a list of subwidgets to the context as widget subwidgets .,1,0,Usage
657,MultiWidget,these can be looped over and rendered like normal widgets.,0,0,Usage
663,MyModel,model subclass with a custom base using metaclass.,1,0,Usage
665,NestedObjectsTests,tests for nestedobject utility collection.,0,0,Usage
667,Operation,base class for migration operations.,1,0,Usage
668,Operation,it s responsible for both mutating the in memory model state,0,0,Usage
669,Operation,"see db migrations state^py to represent what it performs, as well",1,0,Usage
670,Operation,as actually performing it against a live database.,0,0,Usage
680,OverwritingStorage,overwrite existing files instead of appending a suffix to generate an,1,0,Usage
681,OverwritingStorage,unused name.,0,0,Usage
685,ParentWithDependentChildren,model where the validation of child foreign key relationships depends,1,0,Usage
686,ParentWithDependentChildren,on validation of the parent,0,0,Usage
689,Permission,the permissions system provides a way to assign permissions to specific,1,0,Usage
690,Permission,users and groups of users.,0,0,Usage
706,Permission,the permissions listed above are automatically created for each model.,1,0,Usage
201,BaseDatabaseSchemaEditor,this class and its subclasses are responsible for emitting schema changing,0,0,Usage
202,BaseDatabaseSchemaEditor,"statements to the databases model creation removal alteration, field",1,0,Usage
203,BaseDatabaseSchemaEditor,"renaming, index fiddling, and so on.",0,0,Usage
210,BaseExpression,base class for all query expressions.,1,0,Usage
723,ProxyModelInheritanceTests,proxy model inheritance across apps can result in migrate not creating the table,0,0,Usage
212,BaseUpdateView,base view for updating an existing object.,1,0,Usage
724,ProxyModelInheritanceTests,for the proxied model as described in #12286 .,0,0,Usage
213,BaseUpdateView,using this base class requires subclassing to provide a response mixin.,0,0,Usage
725,ProxyModelInheritanceTests,this test creates two dummy,0,0,Usage
726,ProxyModelInheritanceTests,"apps and calls migrate, then verifies that the table has been created.",0,0,Usage
216,BaseYearArchiveView,list of objects published in a given year.,0,0,Usage
218,BCryptSHA256PasswordHasher,secure password hashing using the bcrypt algorithm recommended,0,0,Usage
731,RawPostDataException,you cannot access raw post data from a request that has,0,0,Usage
732,RawPostDataException,"multipart post data if it has been accessed via post,",0,0,Usage
733,RawPostDataException,"files, etc.",0,0,Usage
734,RawPostDataException,.,0,0,Usage
227,BoundWidget,a container class used for iterating over widgets.,0,0,Usage
228,BoundWidget,this is useful for,0,0,Usage
229,BoundWidget,widgets that have choices.,0,0,Usage
742,RemoteTestRunner,run tests and record everything but don t display anything.,0,0,Usage
745,RequestFactoryEnvironmentTests,regression tests for #8551 and #17067 ensure that environment variables,0,0,Usage
746,RequestFactoryEnvironmentTests,are set correctly in requestfactory.,0,0,Usage
751,ReverseGenericManyToOneDescriptor,accessor to the related objects manager on the one to many relation created,0,0,Usage
752,ReverseGenericManyToOneDescriptor,by genericrelation.,0,0,Usage
249,CacheHandler,a cache handler to manage access to cache instances.,0,0,Usage
250,CacheHandler,ensure only one instance of each alias exists per thread.,0,0,Usage
763,SameAsLookup,the operator is the same as operator.,0,0,Usage
764,SameAsLookup,it tests actual geometric,0,0,Usage
253,Choices,class for creating enumerated choices.,0,0,Usage
765,SameAsLookup,equality of two features.,0,0,Usage
766,SameAsLookup,"so if a and b are the same feature,",0,0,Usage
767,SameAsLookup,"vertex by vertex, the operator returns true.",0,0,Usage
256,ChunkIter,an iterable that will yield chunks of data.,0,0,Usage
257,ChunkIter,given a file like object as the,0,0,Usage
258,ChunkIter,"constructor, yield chunks of read operations from that object.",0,0,Usage
262,Client,a class that can act as a client for testing purposes.,0,0,Usage
263,Client,"it allows the user to compose get and post requests, and",0,0,Usage
264,Client,obtain the response that the server gave to those requests.,0,0,Usage
265,Client,the server response objects are annotated with the details,0,0,Usage
266,Client,of the contexts and templates that were rendered during the,0,0,Usage
778,Serializer,convert a queryset to json.,0,0,Usage
267,Client,process of serving the request.,0,0,Usage
268,Client,client objects are stateful they will retain cookie and,0,0,Usage
780,SessionStorage,"store messages in the session that is, django^contrib.sessions .",0,0,Usage
269,Client,thus session details for the lifetime of the client instance.,0,0,Usage
270,Client,this is not intended as a replacement for twill selenium or,0,0,Usage
782,SessionStore,"a database session store, that handles updating the account id column",0,0,Usage
271,Client,the like it is here to allow testing against the,0,0,Usage
783,SessionStore,inside the custom session model.,0,0,Usage
272,Client,"contexts and templates produced by a view, rather than the",0,0,Usage
273,Client,html rendered to the end user.,0,0,Usage
787,SimpleView,a simple view with a docstring.,0,0,Usage
789,SpatialRefSysMixin,the spatialrefsysmixin is a class used by the database dependent,0,0,Usage
790,SpatialRefSysMixin,spatialrefsys objects to reduce redundant code.,0,0,Usage
795,SplitHiddenDateTimeWidget,a widget that splits datetime input into two input type hidden inputs.,0,0,Usage
