stratum,class,comment,Summary,Usage,Parameters,Expand,DevelopmentNotes
1,AccessMixin,"abstract cbv mixin that gives access mixins the same customizable
functionality.","abstract cbv mixin that gives access mixins the same customizable
functionality.",,,,
1,AmbiguityError,more than one migration matches a name prefix.,more than one migration matches a name prefix.,,,,
1,AppConfigStub,stub of an appconfig. only provides a label and a dict of models.,stub of an appconfig.,,only provides a label and a dict of models.,,
1,Archive,the external api class that encapsulates an archive implementation.,the external api class that encapsulates an archive implementation.,,,,the external api class that encapsulates an archive implementation.
1,ArchiveIndexView,top level archive of date based items.,top level archive of date based items.,,,,
1,Atomic,"guarantee the atomic execution of a given block.

an instance can be used either as a decorator or as a context manager.

when it s used as a decorator, call wraps the execution of the
decorated function in the instance itself, used as a context manager.

when it s used as a context manager, enter creates a transaction or a
savepoint, depending on whether a transaction is already in progress, and
exit commits the transaction or releases the savepoint on normal exit,
and rolls back the transaction or to the savepoint on exceptions.

it s possible to disable the creation of savepoints if the goal is to
ensure that some code runs within a transaction without creating overhead.

a stack of savepoints identifiers is maintained as an attribute of the
connection. none denotes the absence of a savepoint.

this allows reentrancy even if the same atomicwrapper is reused. for
example, it s possible to define oa atomic other and use @oa or
with oa multiple times.

since database connections are thread local, this is thread safe.

this is a private api.",guarantee the atomic execution of a given block.,"when it s used as a decorator, call wraps the execution of the
decorated function in the instance itself, used as a context manager.

when it s used as a context manager, enter creates a transaction or a
savepoint, depending on whether a transaction is already in progress, and
exit commits the transaction or releases the savepoint on normal exit,
and rolls back the transaction or to the savepoint on exceptions.

it s possible to disable the creation of savepoints if the goal is to
ensure that some code runs within a transaction without creating overhead.

a stack of savepoints identifiers is maintained as an attribute of the
connection. none denotes the absence of a savepoint.

this allows reentrancy even if the same atomicwrapper is reused.",,"an instance can be used either as a decorator or as a context manager.when it s used as a decorator, call wraps the execution of the
decorated function in the instance itself, used as a context manager.",
1,AtomicTests,"tests for the atomic decorator and context manager.

the tests make assertions on internal attributes because there isn t a
robust way to ask the database for its current transaction state.

since the decorator syntax is converted into a context manager see the
implementation , there are only a few basic tests with the decorator
syntax and the bulk of the tests use the context manager syntax.",tests for the atomic decorator and context manager.,,,"the tests make assertions on internal attributes because there isn t a
robust way to ask the database for its current transaction state.

since the decorator syntax is converted into a context manager see the
implementation , there are only a few basic tests with the decorator
syntax and the bulk of the tests use the context manager syntax.",
1,AutoFieldMeta,"metaclass to maintain backward inheritance compatibility for autofield.

it is intended that autofieldmixin become public api when it is possible to
create a non integer automatically generated field using column defaults
stored in the database.

in many areas django also relies on using isinstance to check for an
automatically generated field as a subclass of autofield. a new flag needs
to be implemented on field to be used instead.

when these issues have been addressed, this metaclass could be used to
deprecate inheritance from autofield and use of isinstance with autofield
for detecting automatically generated fields.",metaclass to maintain backward inheritance compatibility for autofield.,"in many areas django also relies on using isinstance to check for an
automatically generated field as a subclass of autofield. a new flag needs
to be implemented on field to be used instead.",,"it is intended that autofieldmixin become public api when it is possible to
create a non integer automatically generated field using column defaults
stored in the database.","when these issues have been addressed, this metaclass could be used to
deprecate inheritance from autofield and use of isinstance with autofield
for detecting automatically generated fields."
1,BadSignature,signature does not match.,signature does not match.,,,,
1,BarAccount,a service specific account of type bar.,a service specific account of type bar.,,,,
