,comment_sentence,partition,category
1598,a simple class to upload checkpoints.,0,Summary
1599,the base class for all migrations.,0,Summary
1600,"layers side by side, each seeing half the input channels,",0,Summary
1601,encrypteddict which only deals in signed 64 bit int values.,0,Summary
1602,base view for updating an existing object.,0,Summary
1603,overwrite existing files instead of appending a suffix to generate an,0,Summary
1604,applies a 3d adaptive max pooling over an input signal composed of several input planes.,0,Summary
1605,"a database session store, that handles updating the account id column",0,Summary
1606,spatialrefsys objects to reduce redundant code.,0,Summary
1607,base class used for all tensorboard tests,0,Summary
1608,this class and its subclasses are responsible for emitting schema changing,0,Summary
1609,"error raised when attempting to get a slice of a multiindex,",0,Summary
1610,a context manager to remove a package for the inner block.,0,Summary
1611,"the parameters attr kernel size , attr stride , attr padding , attr dilation can either be",0,Summary
1612,"a single int in which case the same value is used for the depth, height and width dimension",0,Summary
1613,and output math y which is a 2d tensor of target class indices .,0,Summary
1614,it has been proposed in adam a method for stochastic optimization .,0,Summary
1615,a container class used for iterating over widgets.,0,Summary
1616,"a form that creates a user, with no privileges, from the given username and",0,Summary
1617,inputs with optional additional channel dimension as described in the paper,0,Summary
1618,arguments are positional parameters to a command.,0,Summary
1619,"a wrapper class that wraps the input module, adds quantstub and",0,Summary
1620,model where the validation of child foreign key relationships depends,0,Summary
1621,lock file creation failed for some other reason.,0,Summary
1622,accessor to the related objects manager on the one to many relation created,0,Summary
1623,generates a tree structure from a stream of possibly malformed html.,0,Summary
1624,on the accept encoding header.,0,Summary
1625,a form that replaces the model s url field with a custom one.,0,Summary
1626,"store messages in the session that is, django^contrib.sessions .",0,Summary
1627,warned when certain ssl configuration is not available on a platform.,0,Summary
1628,checks build type.,0,Summary
1629,"the input string, it only verifies that the specified parse",0,Summary
1630,extension array for string data.,0,Summary
1631,the second tab shows a windows command line equivalent of the usual,0,Summary
1632,.,0,Summary
1633,metaclass for all validators,0,Summary
1634,run tests and record everything but don t display anything.,0,Summary
1635,table column fields,0,Summary
1636,the permissions system provides a way to assign permissions to specific,0,Summary
1637,file upload handler to stream uploads into memory used for small files .,0,Summary
1638,for the proxied model as described in #12286 .,0,Summary
1639,signature does not match.,0,Summary
1640,multiplies the left with the right node.,0,Summary
1641,an adapter class for cursor variables that prevents the wrapped object,0,Summary
1642,for mapping pandas tables to sql tables.,0,Summary
1643,exception for invalid headers.,0,Summary
1644,the network can t be sought and cannot be read outside of its content,0,Summary
1645,an op namespace to dynamically bind operators into python.,0,Summary
1646,"an invalid version was found, users should refer to pep 440.",0,Summary
1647,aggregate the logic of multiple fields.,0,Summary
1648,are set correctly in requestfactory.,0,Summary
1649,a restructuredtext directive which renders a two tab code block in which,0,Summary
1650,manage resource extraction and packages,0,Summary
1651,collect last n samples from input record.,0,Summary
1652,a thin wrapper around an existing file object that,0,Summary
1653,same key.,0,Summary
1654,cache a candidate s requires python information.,0,Summary
1655,"output of that method, marking it safe.",0,Summary
1656,more than one migration matches a name prefix.,0,Summary
1657,colors in terminals.,0,Summary
1658,"this broker tries to auto upgrade connections to use tls, or at",0,Summary
1659,a wrapper around bytesio that restricts what can be read since data from,0,Summary
1660,tests for the ability to mixin a custom validate key method to,0,Summary
1661,to a prefix.,0,Summary
1662,the operator is the same as operator.,0,Summary
1663,"wsgi middleware that intercepts calls to the static files directory, as",0,Summary
1664,lazy loading of moved objects,0,Summary
1665,functionality.,0,Summary
1666,model subclass with a custom base using metaclass.,0,Summary
1667,password.,0,Summary
1668,sanitizes token stream of xhtml mathml svg and of inline style attributes,0,Summary
1669,array of integer optional missing values.,0,Summary
1670,"structured parse results, to provide multiple means of access to",0,Summary
1671,implement n largest smallest for series,0,Summary
1672,the same key.,0,Summary
1673,compatibility shim for the urlparse^parseresultbytes object.,0,Summary
1674,a custom cache backend that otherwise inherits from a builtin,0,Summary
1675,allows for arbitrary requests while transparently keeping track of,0,Summary
1676,math left lfloor frac out channels in channels right rfloor .,0,Summary
1677,a name was attempted to be used that does not exist inside of the,0,Summary
1678,"statements to the databases model creation removal alteration, field",0,Summary
1679,the parsed data,0,Summary
1680,tests that the basic interface is satisfied.,0,Summary
1681,a stack container for variable context,0,Summary
1682,ordered multivalue dictionary.,0,Summary
1683,a subclass of dictionary customized to handle multiple values for the,0,Summary
1684,validator.,0,Summary
1685,containing the exact bytes that will be sent to the server.,0,Summary
1686,dictionary from multiprocessing handles to storageweakref,0,Summary
